time_ns,minimum_heavy_atom_bond_A,maximum_heavy_atom_bond_A,maximum_absolute_change_from_frame0_A,implausible_heavy_atom_bond_count
0.0,1.2601018,1.6137087,0.0,0
0.05000000001018634,1.2274967,1.576884,0.10820353,0
0.10000000002037268,1.2220743,1.5587833,0.14087665,0
0.15000000003055902,1.2206826,1.578188,0.14713466,0
0.20000000004074536,1.2087288,1.6199484,0.17138684,0
0.2500000000509317,1.2589257,1.6283821,0.116018176,0
0.30000000006111804,1.2126952,1.5948846,0.121378064,0
0.3500000000713044,1.2170233,1.626069,0.19960606,0
0.4000000000814907,1.2133971,1.5826184,0.09844589,0
0.45000000009167707,1.2025318,1.5931385,0.14912415,0
0.5000000001018634,1.2447596,1.6178513,0.1130625,0
0.5500000001120497,1.2495543,1.5980612,0.099639416,0
0.6000000001222361,1.2376798,1.6372309,0.13425541,0
0.6500000001324215,1.1754762,1.5804439,0.11040723,0
0.7000000001426079,1.1992377,1.576975,0.16236055,0
0.7500000001527942,1.256134,1.5961026,0.1318872,0
0.8000000001629806,1.2119796,1.6484337,0.117743134,0
0.8500000001731669,1.228367,1.6570618,0.13101315,0
0.9000000001833532,1.2458241,1.6516643,0.13523746,0
0.9500000001935396,1.1878275,1.5857447,0.12234664,0
1.000000000203726,1.2293844,1.5928664,0.10545671,0
1.0500000002139123,1.198733,1.6007907,0.116518736,0
1.1000000002240986,1.2370245,1.5713885,0.1318506,0
1.150000000234285,1.2472298,1.609795,0.091371894,0
1.2000000002444713,1.1992567,1.6265445,0.09015906,0
1.2500000002546576,1.2568961,1.6034844,0.1494546,0
1.300000000264844,1.2138393,1.5831215,0.123560905,0
1.3500000002750303,1.2169375,1.6682436,0.092711926,0
1.4000000002852167,1.2443687,1.5977353,0.10842621,0
1.450000000295403,1.2440292,1.6108999,0.10839629,0
1.5000000003055893,1.2051842,1.6438789,0.112252355,0
1.5500000003157757,1.2335542,1.6423736,0.1265074,0
1.600000000325962,1.2224041,1.5793343,0.15708804,0
1.6500000003361501,1.2188817,1.6907403,0.15911376,0
