time_ns,protein_core_rmsd_A,backbone_rmsd_A,ligand_pose_rmsd_A,ligand_internal_rmsd_A
0.0,0.0,0.0,0.0,0.002240388
0.05000000001018634,0.5469703,0.6794924,1.4755262,0.8006277
0.10000000002037268,0.56048626,0.74399185,0.6534772,0.5213706
0.15000000003055902,0.5361705,0.7664696,1.0325905,0.90402365
0.20000000004074536,0.5689458,0.7557231,0.78574425,0.3593222
0.2500000000509317,0.6380204,0.8629305,0.6182966,0.5492059
0.30000000006111804,0.56268597,0.85361767,0.64453155,0.45673156
0.3500000000713044,0.6151209,0.8874904,1.0376436,0.8672733
0.4000000000814907,0.58309126,0.8028196,1.140212,0.6868461
0.45000000009167707,0.62330365,0.8039871,0.7297364,0.41565087
0.5000000001018634,0.55438083,0.80752105,0.7011275,0.40938455
0.5500000001120497,0.59475195,0.83366024,0.81061846,0.63495934
0.6000000001222361,0.6164032,0.90987265,0.71993077,0.60333025
0.6500000001324215,0.6204396,0.89490974,0.77767265,0.4196648
0.7000000001426079,0.55243504,0.8805512,0.93209714,0.40017748
0.7500000001527942,0.5713677,0.8116243,0.93115604,0.58855724
0.8000000001629806,0.53545266,0.95078206,0.8872899,0.47155246
0.8500000001731669,0.632305,0.90297234,0.7340691,0.40164855
0.9000000001833532,0.6084857,1.0775571,0.47117487,0.43889883
0.9500000001935396,0.61823934,0.98436046,1.0598108,0.6918193
1.000000000203726,0.5757613,0.9295594,0.4670699,0.2589466
1.0500000002139123,0.62082773,0.9111097,1.0548646,0.7826686
1.1000000002240986,0.6140452,0.84002495,0.880515,0.73791116
1.150000000234285,0.61806303,0.9377447,1.0519017,0.83700305
1.2000000002444713,0.61409956,0.9534515,0.8962742,0.7008011
1.2500000002546576,0.74669725,1.0662714,0.7007032,0.3959787
1.300000000264844,0.6631628,1.0547813,0.95643985,0.67302316
1.3500000002750303,0.5910381,0.931933,0.84437996,0.63461137
1.4000000002852167,0.65909004,1.0744406,0.4737612,0.36113358
1.450000000295403,0.7177336,1.0598264,0.7568577,0.5763156
1.5000000003055893,0.6336247,0.9527192,0.6513315,0.55134034
1.5500000003157757,0.6208284,0.9310139,0.6991664,0.51344985
1.600000000325962,0.6521286,1.1054654,0.704533,0.5037835
1.6500000003361501,0.700091,1.0608788,0.7192639,0.36647296
1.700000000346333,0.6487738,1.0441898,1.1042773,0.9259716
