step,time_ps,elapsed_time_ns,potential_energy_kJ_mol,kinetic_energy_kJ_mol,total_energy_kJ_mol,temperature_K,volume_nm3,density_g_mL,speed_ns_day
4950000,9900.000001099395,2.350000000478757,-1805649.9751649692,476304.54862045567,-1329345.4265445138,312.2309961092297,1637.205349138765,1.0209075337789155,53.8
4975000,9950.000001109582,2.4000000004889435,-1808915.76990489,473599.86620510026,-1335315.90369979,310.45800089608,1636.6931383663432,1.0212270315663692,53.8
5000000,10000.000001119768,2.45000000049913,-1807105.506489708,472004.0829746606,-1335101.4235150474,309.41192021291687,1635.3697347839832,1.0220534474423828,53.8
5025000,10050.000001129954,2.500000000509316,-1807987.029836391,472521.8955835553,-1335465.1342528358,309.7513609071982,1635.5918534793043,1.0219146492588314,53.8
5050000,10100.00000114014,2.5500000005195025,-1806810.2230011208,472059.9178261675,-1334750.305174953,309.4485215247332,1636.8200622073432,1.0211478426192315,53.8
5075000,10150.000001150329,2.6000000005296906,-1805911.037355496,473146.7434366515,-1332764.293918844,310.16096620732395,1636.5461697102892,1.021318742003345,53.8
5100000,10200.000001160512,2.6500000005398734,-1805424.5703026492,473396.4402862292,-1332028.1300164205,310.3246494983922,1636.095325231818,1.0216001778759929,53.8
5125000,10250.0000011707,2.7000000005500615,-1805885.2539649475,472617.2081504,-1333268.0458145477,309.813840969112,1636.1649239503363,1.0215567213379766,53.8
5150000,10300.000001180886,2.750000000560248,-1807922.7392307904,472802.6296644968,-1335120.1095662934,309.93538997429,1632.0600176584617,1.0241261088406146,53.8
5175000,10350.000001191072,2.800000000570434,-1808110.2424781185,473340.2338913007,-1334770.0085868177,310.287804629438,1634.4284277555705,1.0226420728463184,53.8
5200000,10400.00000120126,2.8500000005806223,-1804910.988398485,474289.4862676068,-1330621.5021308782,310.9100661968984,1635.0043971794614,1.0222818227047528,53.8
5225000,10450.000001211443,2.900000000590805,-1807151.921149908,473139.2321821003,-1334012.6889678072,310.1560423692096,1636.3522770538384,1.021439758856957,53.8
5250000,10500.000001221631,2.950000000600993,-1805166.1917893933,475151.2977897337,-1330014.8939996597,311.47500783096734,1633.2642607570006,1.0233709972348335,53.8
5275000,10550.000001231818,3.0000000006111796,-1807354.9355690312,473184.2077657214,-1334170.7278033097,310.18552512622983,1636.5325427977882,1.0213272462162275,53.8
5300000,10600.000001242004,3.050000000621366,-1806630.31839294,472021.9434572746,-1334608.3749356652,309.4236282604124,1637.473063257705,1.0207406233319245,53.8
5325000,10650.00000125219,3.1000000006315522,-1805146.3946749792,472757.4345663036,-1332388.9601086755,309.9057633193084,1636.3402463949917,1.0214472686601894,53.8
5350000,10700.000001262377,3.1500000006417386,-1808639.5406802197,473112.216275742,-1335527.3244044774,310.1383326845604,1634.6380708199142,1.0225109185426804,53.8
5375000,10750.000001272563,3.200000000651925,-1806224.3690442836,471267.51561773056,-1334956.8534265528,308.9290796433235,1636.3040765206167,1.0214698473605166,53.8
5400000,10800.00000128275,3.2500000006621113,-1806333.644438953,473501.88932716456,-1332831.7551117886,310.39377430348884,1637.206928401618,1.0209065490033713,53.8
5425000,10850.000001292936,3.3000000006722976,-1807090.0849366128,472876.5084549581,-1334213.5764816552,309.9838195943804,1637.2112753788128,1.0209038383834572,53.8
5450000,10900.000001303122,3.350000000682484,-1808325.0643027192,471896.3915243358,-1336428.6727783834,309.3413254455463,1635.081635440593,1.022233531984179,53.8
5475000,10950.000001313309,3.4000000006926703,-1807047.868492823,475459.02153067634,-1331588.8469621467,311.6767293774847,1636.7873469886958,1.0211682527690318,53.8
5500000,11000.000001323497,3.4500000007028584,-1804928.426388251,473036.9318495292,-1331891.4945387214,310.0889816307945,1637.6817951140076,1.0206105241357637,53.8
5525000,11050.00000133368,3.500000000713041,-1808881.4904403973,475095.1545396734,-1333786.3359007242,311.438204355246,1633.469949661537,1.0232421328750094,53.8
5550000,11100.000001343868,3.5500000007232293,-1807492.2656502563,471764.6690911922,-1335727.5965590645,309.25497769465994,1630.595115009764,1.0250461686614931,53.8
5575000,11150.000001354054,3.6000000007334156,-1808550.9809875423,473238.7969902656,-1335312.1839972767,310.2213098946214,1634.3122983740493,1.0227147387569615,53.8
5600000,11200.00000136424,3.650000000743602,-1805859.3647167552,474653.175136503,-1331206.1895802522,311.1484744550984,1635.0460758098586,1.022255763924587,53.8
5625000,11250.000001374428,3.70000000075379,-1806568.3538234243,473457.2030512856,-1333111.1507721387,310.36448119581115,1635.5851611910584,1.021918830604785,53.8
5650000,11300.000001384611,3.750000000763973,-1806158.978819564,474677.5609410727,-1331481.417878491,311.1644600342279,1637.138777374459,1.0209490474347256,53.8
5675000,11350.0000013948,3.800000000774161,-1806250.45854014,474940.19284630095,-1331310.2656938387,311.33662261721594,1638.2320791113725,1.0202676999131548,53.8
5700000,11400.000001404986,3.8500000007843473,-1804459.383107532,475087.0736111526,-1329372.3094963792,311.43290707986023,1635.109913693765,1.0222158530634065,53.8
5725000,11450.000001415172,3.9000000007945337,-1804391.545818881,474113.6493406812,-1330277.8964782,310.79480015754234,1638.2083094028792,1.0202825035652134,53.8
5750000,11500.000001425358,3.95000000080472,-1807043.1227090703,472335.81786768907,-1334707.3048413813,309.6293817433483,1634.9029447521546,1.022345259481008,53.8
5775000,11550.000001435545,4.000000000814906,-1805752.703820245,476004.22200120793,-1329748.481819037,312.034123583537,1635.265942676432,1.0221183182860614,53.8
5800000,11600.000001445733,4.0500000008250945,-1808890.1200016383,472535.1549675696,-1336354.9650340688,309.7600528054607,1634.0187979306088,1.0228984375183947,53.8
5825000,11650.000001455915,4.100000000835277,-1805295.8722052572,472268.13979652704,-1333027.7324087303,309.58501686874257,1632.480977664786,1.0238620223739712,53.8
5850000,11700.000001466104,4.150000000845465,-1808646.050036725,475467.2299923609,-1333178.8200443638,311.68211025443776,1632.912904336571,1.0235911975709355,53.8
5875000,11750.00000147629,4.200000000855652,-1806499.720255942,472406.5180815563,-1334093.2021743858,309.6757277172947,1632.8655273443335,1.0236208966927611,53.8
5900000,11800.000001486476,4.250000000865838,-1807942.0049824007,474407.7399228045,-1333534.2650595962,310.9875847859249,1631.821238550098,1.0242759658919536,53.8
5925000,11850.000001496664,4.300000000876026,-1807778.4356428608,472504.5627424508,-1335273.87290041,309.7399987435172,1636.9679976696186,1.021055559826676,53.8
5950000,11900.000001506847,4.350000000886209,-1806480.640546325,473088.4816407107,-1333392.158905614,310.12277396533426,1633.237976078878,1.0233874669579583,53.8
5975000,11950.000001517035,4.400000000896397,-1807689.75421492,473614.94134093926,-1334074.812873981,310.4678830706112,1637.76174797151,1.0205606995944938,53.8
6000000,12000.000001527222,4.450000000906583,-1808689.7469231123,473804.2081900642,-1334885.538733048,310.5919528007952,1631.444342669229,1.0245125938800013,53.8
6025000,12050.000001537408,4.50000000091677,-1806657.56988581,473345.0968859631,-1333312.4729998468,310.2909924588885,1634.5534223608024,1.0225638712161724,53.8
6050000,12100.000001547594,4.550000000926956,-1805823.02184754,473189.17476656655,-1332633.847080973,310.18878113465144,1636.5852482179855,1.0212943548763296,53.8
6075000,12150.00000155778,4.6000000009371425,-1808037.074650481,472151.4568565075,-1335885.6177939738,309.50852792758764,1636.5998178897046,1.0212852629020324,53.8
6100000,12200.000001567969,4.650000000947331,-1804986.1326147225,472422.47815296525,-1332563.6544617573,309.68618999192216,1635.437818784818,1.0220108989046337,53.8
6125000,12250.000001578152,4.700000000957513,-1804178.816553024,473283.00363936665,-1330895.812913657,310.2502885934885,1637.9736331663637,1.0204286817778971,53.8
6150000,12300.00000158834,4.7500000009677015,-1804608.1699550615,473044.48701304215,-1331563.6829420195,310.09393425246526,1638.9897385806516,1.0197960584709649,53.8
6175000,12350.000001598526,4.800000000977888,-1808392.557574545,471105.2438698151,-1337287.31370473,308.8227059594299,1635.8750431471228,1.0217377435279966,53.8
6200000,12400.000001608712,4.850000000988074,-1808272.7922296105,473161.0049809785,-1335111.787248632,310.1703150497908,1636.2590281876376,1.0214979697500768,53.8
6225000,12450.0000016189,4.900000000998262,-1806483.4793839296,473732.8887294482,-1332750.5906544814,310.54520089322966,1638.5768590646426,1.0200530210301026,53.8
6250000,12500.000001629083,4.950000001008445,-1807625.9711170916,472011.4747049729,-1335614.4964121184,309.4167656995389,1635.012624628988,1.022276678541355,53.8
6275000,12550.000001639271,5.000000001018633,-1807066.3280265136,473792.84861334215,-1333273.4794131713,310.58450627951885,1632.759450678857,1.0236873990127375,53.8
6300000,12600.000001649458,5.0500000010288195,-1804792.3067100607,472927.08927816665,-1331865.217431894,310.01697674322605,1639.1730289328182,1.019682026105012,53.8
6325000,12650.000001659644,5.100000001039006,-1807692.1236622585,472730.2649125116,-1334961.8587497468,309.8879528489025,1638.6456796905416,1.0200101803548869,53.8
6350000,12700.00000166983,5.150000001049192,-1804047.747339016,473942.8430871441,-1330104.9042518716,310.6828318657465,1639.1147579318017,1.0197182760942771,53.8
6375000,12750.000001680017,5.2000000010593785,-1807892.0786130491,472919.7164878039,-1334972.3621252454,310.0121436722723,1636.640865767371,1.021259648490581,53.8
6400000,12800.000001690203,5.250000001069565,-1804901.9587915707,474169.2736771152,-1330732.6851144554,310.8312634708217,1636.1870418537055,1.0215429119798345,53.8
6425000,12850.00000170039,5.300000001079751,-1806854.074436033,472708.4195666459,-1334145.6548693872,309.87363261173545,1636.8130262281911,1.0211522321095503,53.8
6450000,12900.000001710576,5.350000001089938,-1807368.7869246388,474002.1308565128,-1333366.656068126,310.7216966621058,1637.556233004804,1.0206887809965068,53.8
6475000,12950.000001720762,5.400000001100124,-1805665.4508331453,472923.986729465,-1332741.4641036806,310.01494293549865,1637.7543334498137,1.0205653199269178,53.8
6500000,13000.000001730948,5.45000000111031,-1806499.228494664,473851.565288029,-1332647.6632066346,310.6229967072899,1635.5009647736124,1.0219714395034107,53.8
6525000,13050.000001741137,5.500000001120498,-1807111.7679848203,473545.7834856169,-1333565.9844992035,310.42254815596755,1634.9356687686236,1.0223247967534843,53.8
