GENERALIZED BORN:
Complex Energy Terms
Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL
20,-4945.7591,-39227.5952,-4071.0169,191.0396808,-44173.354300000006,-3879.9772192,-48053.33151920001
21,-4910.9024,-39252.7058,-4012.1904,189.7450776,-44163.6082,-3822.4453224,-47986.053522400005
22,-4935.1141,-39304.9221,-3968.5344,187.19027784000002,-44240.0362,-3781.34412216,-48021.380322159996
23,-4903.0544,-39234.6525,-4036.6018,191.07088055999998,-44137.7069,-3845.5309194399997,-47983.23781943999
24,-4910.2411,-39191.3622,-4064.8706,192.52062936,-44101.6033,-3872.3499706400003,-47973.953270640006
25,-4937.8083,-39307.3257,-4076.5746,187.04364552,-44245.134,-3889.5309544799998,-48134.664954479995
26,-4936.1269,-39236.1588,-4090.262,191.59652448,-44172.2857,-3898.66547552,-48070.95117552
27,-4950.427,-39201.4451,-4061.4799,188.34869952,-44151.87209999999,-3873.1312004799997,-48025.00330047999
28,-4939.0908,-39275.763,-4045.7507,191.42522136,-44214.8538,-3854.3254786400003,-48069.17927864
29,-4972.3817,-39090.5402,-4140.3181,193.80701808,-44062.9219,-3946.5110819200004,-48009.43298192001
30,-4916.0707,-39215.9565,-4056.5417,190.652292,-44132.0272,-3865.889408,-47997.916608
31,-4905.0392,-39153.4736,-4116.2475,193.47981696,-44058.5128,-3922.7676830400005,-47981.28048303999
32,-4959.8907,-39183.0609,-4067.9258,195.28806024,-44142.9516,-3872.63773976,-48015.58933976
33,-4974.636,-39234.2502,-4017.5442,188.51510664,-44208.8862,-3829.02909336,-48037.91529336
34,-4909.8321,-39328.4238,-4035.591,191.01356855999998,-44238.2559,-3844.57743144,-48082.83333143999
35,-4989.1107,-39198.5307,-4008.4317,190.04630543999997,-44187.6414,-3818.3853945600003,-48006.02679456
36,-4970.1525,-39278.0768,-3989.1093,192.99245616,-44248.229300000006,-3796.11684384,-48044.346143840005
37,-4908.7864,-39214.8985,-3984.0084,189.62873928,-44123.6849,-3794.37966072,-47918.06456072
38,-4950.7651,-39199.7171,-3989.3414,190.28154456000001,-44150.4822,-3799.05985544,-47949.54205544
39,-4980.7773,-39166.5037,-4011.8022,190.02484872,-44147.281,-3821.77735128,-47969.05835128
40,-4957.4116,-39132.9156,-4058.5247,190.95180768,-44090.3272,-3867.57289232,-47957.90009232
41,-4952.7869,-39206.3837,-4004.1907,190.82410199999998,-44159.1706,-3813.366598,-47972.537198
42,-4940.3808,-39200.2489,-4034.5701,192.27832919999997,-44140.6297,-3842.2917708,-47982.92147079999
43,-4963.5314,-39346.8017,-3997.1779,192.13673112,-44310.3331,-3805.04116888,-48115.374268880005
44,-4921.8843,-39281.5599,-3997.3074,191.46081672,-44203.4442,-3805.8465832800002,-48009.29078328
45,-4963.1352,-39278.858,-3997.4239,190.49827032,-44241.9932,-3806.92562968,-48048.91882968
46,-4952.5164,-39405.713,-3939.4182,187.63788528,-44358.229400000004,-3751.78031472,-48110.00971472001
47,-4988.6581,-39262.5737,-3987.7258,188.19900864,-44251.2318,-3799.52679136,-48050.758591360005
48,-4968.1035,-39212.9364,-4019.4624,188.51164344,-44181.039899999996,-3830.9507565599997,-48011.990656559996
49,-4956.2865,-39224.3477,-4006.745,188.0533404,-44180.6342,-3818.6916596,-47999.3258596
50,-4976.7779,-39194.4172,-4063.9444,190.4109696,-44171.195100000004,-3873.5334304,-48044.7285304
51,-4964.5593,-39472.7364,-3944.5716,189.349956,-44437.2957,-3755.221644,-48192.51734400001
52,-4981.2873,-39402.5027,-3885.4737,186.0490404,-44383.78999999999,-3699.4246596,-48083.214659599995
53,-4923.7419,-39259.6151,-4011.2367,188.71052256,-44183.357,-3822.52617744,-48005.88317744
54,-4955.154,-39212.1567,-4063.8114,188.74590624,-44167.3107,-3875.06549376,-48042.37619376
55,-4975.8441,-39233.3894,-4024.0479,190.07462303999998,-44209.2335,-3833.97327696,-48043.20677696
56,-4947.3805,-39224.1795,-3988.314,190.2918384,-44171.56,-3798.0221616,-47969.582161599996
57,-5009.5097,-39258.2601,-3974.8973,188.4609432,-44267.7698,-3786.4363568,-48054.2061568
58,-4937.647,-39287.3332,-4053.0878,192.45333312,-44224.9802,-3860.6344668799998,-48085.61466688
59,-4941.9363,-39288.7419,-4029.2933,190.83527424,-44230.6782,-3838.45802576,-48069.13622576
60,-4937.1473,-39391.4107,-3927.6765,188.19263664,-44328.558,-3739.48386336,-48068.04186336
61,-5007.0668,-39344.1138,-3932.4576,190.51997903999998,-44351.1806,-3741.93762096,-48093.11822096
62,-4976.5187,-39359.5945,-3925.5984,189.42211944,-44336.1132,-3736.1762805599997,-48072.28948056
63,-4901.3845,-39424.6539,-3951.6769,190.86909623999998,-44326.0384,-3760.80780376,-48086.84620376
64,-4914.9023,-39213.4658,-4038.9524,190.32855768,-44128.3681,-3848.62384232,-47976.991942320004
65,-4892.0287,-39366.1728,-4002.3854,190.81845288,-44258.2015,-3811.56694712,-48069.768447120005
66,-5005.7515,-39357.912,-3915.8896,186.75732743999998,-44363.663499999995,-3729.13227256,-48092.79577256
67,-4932.6999,-39376.7116,-3908.7798,188.62763687999998,-44309.4115,-3720.15216312,-48029.563663119996
68,-4951.8599,-39287.9441,-3954.8501,192.27536856,-44239.804000000004,-3762.57473144,-48002.37873144001
69,-4943.3929,-39489.4544,-3864.0304,189.28908503999997,-44432.8473,-3674.74131496,-48107.588614960005
70,-4957.6521,-39371.6864,-3995.9429,189.68275656,-44329.3385,-3806.26014344,-48135.59864344
71,-4904.7559,-39377.2615,-3994.4409,189.64864224,-44282.0174,-3804.79225776,-48086.80965776
72,-5014.3679,-39330.9763,-3990.4412,189.54943344,-44345.3442,-3800.89176656,-48146.23596656
73,-4915.3737,-39371.0411,-3949.0235,188.88319296,-44286.4148,-3760.1403070399997,-48046.55510704
74,-4931.2423,-39528.3279,-3938.6393,192.38787144,-44459.570199999995,-3746.25142856,-48205.82162856
75,-4919.776,-39449.7324,-3905.4028,187.77360167999998,-44369.5084,-3717.62919832,-48087.137598320005
76,-4956.0638,-39400.7614,-3905.583,188.99227008,-44356.82520000001,-3716.5907299200003,-48073.415929920004
77,-4938.6977,-39442.428,-3937.2805,192.80491128,-44381.1257,-3744.47558872,-48125.60128872
78,-4881.3428,-39523.7871,-3891.8023,191.71053432,-44405.1299,-3700.0917656799998,-48105.22166568
79,-4933.7988,-39457.1798,-3892.6651,192.0943116,-44390.978599999995,-3700.5707884000003,-48091.549388399995
80,-4955.2753,-39434.6946,-3904.391,189.30133296,-44389.969900000004,-3715.08966704,-48105.05956704001
81,-4925.3478,-39419.2767,-3943.2019,194.24536128,-44344.624500000005,-3748.95653872,-48093.58103872
82,-4944.1585,-39466.1075,-3886.8538,190.95833736,-44410.265999999996,-3695.89546264,-48106.16146263999
83,-4972.8758,-39244.9265,-4004.4124,187.22589336000001,-44217.8023,-3817.18650664,-48034.98880664
