block_ns,frames,protein_core_rmsd_A_mean,protein_core_rmsd_A_sd,backbone_rmsd_A_mean,backbone_rmsd_A_sd,ligand_pose_rmsd_A_mean,ligand_pose_rmsd_A_sd,ligand_internal_rmsd_A_mean,ligand_internal_rmsd_A_sd,ligand_com_displacement_A_mean,ligand_com_displacement_A_sd,ligand_pocket_com_distance_A_mean,ligand_pocket_com_distance_A_sd,protein_ligand_min_heavy_distance_A_mean,protein_ligand_min_heavy_distance_A_sd,contact_atoms_4A_mean,contact_atoms_4A_sd,contact_residues_4A_mean,contact_residues_4A_sd,initial_contact_residue_fraction_4A_mean,initial_contact_residue_fraction_4A_sd,ligand_sasa_nm2_mean,ligand_sasa_nm2_sd,ligand_z_from_membrane_center_A_mean,ligand_z_from_membrane_center_A_sd
0-20,400,0.8427892327308655,0.10281458497047424,1.2647532224655151,0.16991084814071655,1.567840576171875,0.31335437297821045,0.613315999507904,0.1391626000404358,0.7500627482952098,0.2015764371343365,3.03729409800014,0.18270678497998458,2.548308491334319,0.06747340177795123,43.2025,4.0431871284159575,17.655,1.6363585099031117,0.7090789473684209,0.07300540496652462,0.2836824357509613,0.08573652803897858,4.5650310102242315,0.874812726067182
20-40,400,0.9825836420059204,0.06450338661670685,1.514344334602356,0.13564364612102509,1.4820122718811035,0.1776185929775238,0.5661303997039795,0.13214793801307678,0.6843432749659283,0.17665345416418407,2.9709795243683503,0.14048623455287304,2.550523378327489,0.06414689826413504,43.725,3.866749847865118,17.97,1.8130963283122463,0.7118421052631578,0.06909955503194692,0.2801707983016968,0.05573504790663719,3.211351208081096,1.0863704795291482
40-60,400,0.9760096669197083,0.05014004558324814,1.5922255516052246,0.07292669266462326,1.5097711086273193,0.19679711759090424,0.5925025343894958,0.12337077409029007,0.7022731596749539,0.17762895099806386,2.9037120895483746,0.15013786983463076,2.55055079869926,0.06570148848185488,44.0225,3.9179547820496174,17.71,1.7843373137170022,0.705,0.06663628602606264,0.30001112818717957,0.05361763760447502,1.8758523868871828,0.7550018907810351
60-80,400,0.9974814057350159,0.0487760566174984,1.5856680870056152,0.07073982805013657,1.7038716077804565,0.19839969277381897,0.6730648875236511,0.10745111852884293,0.8333714909434488,0.18619657640507656,2.9455620839202004,0.13066823418443985,2.55002357698977,0.06446311316512719,43.05,3.8470116645088517,16.765,1.4951131758235907,0.6643421052631578,0.05149798205026698,0.29278305172920227,0.06031784042716026,2.9206716649936224,1.4271773001103478
80-100,400,1.0845324993133545,0.06276409327983856,1.6634577512741089,0.0657573938369751,1.6759942770004272,0.28833919763565063,0.6558552384376526,0.1290341019630432,0.827034823247736,0.249834027663167,2.952231641553881,0.17240094210550808,2.544655241444707,0.0638873808201592,45.49,3.8296953424574256,17.975,1.703416881647503,0.7060526315789474,0.06545476126975758,0.275675892829895,0.05545356497168541,1.4382962792486942,0.8383872333275415
