step,time_ps,elapsed_time_ns,potential_energy_kJ_mol,kinetic_energy_kJ_mol,total_energy_kJ_mol,temperature_K,volume_nm3,density_g_mL,speed_ns_day
3775000,7550.000000620638,0.0,-1805778.878981419,473697.4948627171,-1332081.3841187018,310.5093063059687,1635.9362948242242,1.021711720040409,0
3800000,7600.000000630825,0.05000000001018634,-1807737.7989486016,473533.75042939273,-1334204.048519209,310.40197162306583,1636.6329854021203,1.0212767923962598,151
3825000,7650.000000641011,0.10000000002037268,-1806173.3097607,473809.6703154668,-1332363.6394452332,310.58283745695775,1634.655439133057,1.0225122956479762,152
3850000,7700.000000651197,0.15000000003055902,-1807181.9916723703,476660.9174948007,-1330521.07417757,312.45183358500014,1639.6040248254424,1.0194261909300577,152
3875000,7750.000000661384,0.20000000004074536,-1806257.7316809408,474329.3102480733,-1331928.4214328676,310.923462089244,1634.2293278075426,1.02277890698718,152
3900000,7800.00000067157,0.2500000000509317,-1809147.4916904464,472457.5210405086,-1336689.970649938,309.6965018990485,1635.7768494062807,1.0218113101845532,152
3925000,7850.000000681756,0.30000000006111804,-1807153.3760312507,473535.7495635573,-1333617.6264676934,310.4032820580362,1635.2139883989364,1.0221630303553977,152
3950000,7900.000000691943,0.3500000000713044,-1807467.423549977,471017.4279875452,-1336449.995562432,308.7525190835571,1633.767547507994,1.0230679928799444,152
3975000,7950.000000702129,0.4000000000814907,-1806342.409749956,473898.9811368146,-1332443.4286131412,310.6413808131779,1634.354730965057,1.0227004297129718,152
4000000,8000.000000712315,0.45000000009167707,-1809917.141183372,475428.22722638,-1334488.9139569916,311.6438035567891,1634.4477683702871,1.0226422147022816,152
4025000,8050.000000722502,0.5000000001018634,-1807635.6228411808,472810.5279396098,-1334825.0949015715,309.927898367364,1635.9444186773826,1.0217066463741593,152
4050000,8100.000000732688,0.5500000001120497,-1809051.5372440836,471056.7978072656,-1337994.7394368178,308.77832605011986,1632.03756946501,1.024152456373479,152
4075000,8150.000000742874,0.6000000001222361,-1808262.4268723612,473293.3967744831,-1334969.0300978783,310.244419498633,1633.069755012662,1.0235051384246798,152
4100000,8200.00000075306,0.6500000001324215,-1809135.406331688,474537.4227057269,-1334597.9836259612,311.05988006814505,1634.8724836682086,1.0223765476259663,151
4125000,8250.000000763246,0.7000000001426079,-1808079.9721611456,473230.8466513757,-1334849.12550977,310.2034178139164,1635.5462998998603,1.02195534651861,152
