atom1,atom2,frame0_distance_A,mean_distance_A,minimum_distance_A,maximum_distance_A,implausible_frame_fraction
UNK1-O1x,UNK1-C1x,1.421897292137146,1.434937596321106,1.325377345085144,1.563572645187378,0.0
UNK1-C1x,UNK1-C2x,1.5890452861785889,1.5551320314407349,1.4290881156921387,1.6978942155838013,0.0
UNK1-C2x,UNK1-O2x,1.3883745670318604,1.4529072046279907,1.3327035903930664,1.5553230047225952,0.0
UNK1-C2x,UNK1-C26x,1.5481102466583252,1.5519044399261475,1.4316076040267944,1.6755106449127197,0.0
UNK1-O2x,UNK1-C3x,1.4913277626037598,1.4492602348327637,1.3145134449005127,1.5713024139404297,0.0
UNK1-C3x,UNK1-O3x,1.4346296787261963,1.4494619369506836,1.3207838535308838,1.573099970817566,0.0
UNK1-C3x,UNK1-C24x,1.5266313552856445,1.5600905418395996,1.4269952774047852,1.6999460458755493,0.0
UNK1-O3x,UNK1-C4x,1.484960913658142,1.469519853591919,1.3487516641616821,1.5846431255340576,0.0
UNK1-C4x,UNK1-C5x,1.6326104402542114,1.564410924911499,1.4428749084472656,1.6730067729949951,0.0
UNK1-C4x,UNK1-C14x,1.5558948516845703,1.5381628274917603,1.4284330606460571,1.6615984439849854,0.0
UNK1-C4x,UNK1-C16x,1.6213136911392212,1.5726290941238403,1.4434033632278442,1.7029712200164795,0.0
UNK1-C5x,UNK1-O4x,1.466661810874939,1.4390100240707397,1.312579870223999,1.5581836700439453,0.0
UNK1-O4x,UNK1-C6x,1.4625353813171387,1.442449927330017,1.3324319124221802,1.57733154296875,0.0
UNK1-C6x,UNK1-C7x,1.5163891315460205,1.5304228067398071,1.395542860031128,1.6617358922958374,0.0
UNK1-C6x,UNK1-C14x,1.5855998992919922,1.5549925565719604,1.4292261600494385,1.6845626831054688,0.0
UNK1-C7x,UNK1-C8x,1.434273600578308,1.4204320907592773,1.3349872827529907,1.5208977460861206,0.0
UNK1-C7x,UNK1-C12x,1.349392056465149,1.414731740951538,1.3031284809112549,1.504274606704712,0.0
UNK1-C8x,UNK1-C9x,1.4181647300720215,1.410287857055664,1.3161104917526245,1.5083123445510864,0.0
UNK1-C9x,UNK1-C10x,1.402136206626892,1.4047566652297974,1.3172208070755005,1.4922807216644287,0.0
UNK1-C10x,UNK1-C11x,1.362788438796997,1.409129023551941,1.3174628019332886,1.4948415756225586,0.0
UNK1-C10x,UNK1-O6x,1.352455496788025,1.3729387521743774,1.2752056121826172,1.4699851274490356,0.0
UNK1-C11x,UNK1-C12x,1.4104574918746948,1.4092519283294678,1.3147475719451904,1.4988757371902466,0.0
UNK1-C11x,UNK1-O5x,1.3499977588653564,1.3711315393447876,1.2715704441070557,1.4843541383743286,0.0
UNK1-O5x,UNK1-C13x,1.4306718111038208,1.4351166486740112,1.3260395526885986,1.5599868297576904,0.0
UNK1-C13x,UNK1-O6x,1.4873236417770386,1.4351838827133179,1.3155665397644043,1.5487735271453857,0.0
UNK1-C14x,UNK1-C15x,1.516089677810669,1.5329426527023315,1.4270961284637451,1.661720871925354,0.0
UNK1-C15x,UNK1-O7x,1.4079309701919556,1.413526177406311,1.2943912744522095,1.5319477319717407,0.0
UNK1-C15x,UNK1-O8x,1.450310230255127,1.421642780303955,1.3160525560379028,1.5685676336288452,0.0
UNK1-O8x,UNK1-C16x,1.4693845510482788,1.451788067817688,1.3428635597229004,1.5585179328918457,0.0
UNK1-C16x,UNK1-C17x,1.4907245635986328,1.5395634174346924,1.4184675216674805,1.670453429222107,0.0
UNK1-C17x,UNK1-C18x,1.4813237190246582,1.4175310134887695,1.3259947299957275,1.5097057819366455,0.0
UNK1-C17x,UNK1-C22x,1.372766375541687,1.4212006330490112,1.33262300491333,1.5145097970962524,0.0
UNK1-C18x,UNK1-C19x,1.4159761667251587,1.4099540710449219,1.3105907440185547,1.5015493631362915,0.0
UNK1-C19x,UNK1-C20x,1.4379198551177979,1.4055227041244507,1.3060508966445923,1.4965205192565918,0.0
UNK1-C20x,UNK1-C21x,1.3828086853027344,1.409183144569397,1.3146486282348633,1.4859559535980225,0.0
UNK1-C20x,UNK1-O10x,1.3850284814834595,1.3733676671981812,1.275465726852417,1.4682525396347046,0.0
UNK1-C21x,UNK1-C22x,1.4254462718963623,1.4053761959075928,1.306605577468872,1.4920554161071777,0.0
UNK1-C21x,UNK1-O9x,1.3829327821731567,1.3696167469024658,1.2660123109817505,1.4662312269210815,0.0
UNK1-O9x,UNK1-C23x,1.422749638557434,1.4347425699234009,1.3081823587417603,1.5502655506134033,0.0
UNK1-C23x,UNK1-O10x,1.436359167098999,1.4405571222305298,1.3307814598083496,1.5467088222503662,0.0
UNK1-C24x,UNK1-O11x,1.4266632795333862,1.4451690912246704,1.3204495906829834,1.5746698379516602,0.0
UNK1-C24x,UNK1-C25x,1.586043357849121,1.5579185485839844,1.4393197298049927,1.6919575929641724,0.0
UNK1-C25x,UNK1-O12x,1.387171745300293,1.4421941041946411,1.2999403476715088,1.5666697025299072,0.0
UNK1-C25x,UNK1-C26x,1.5728201866149902,1.5535794496536255,1.4291332960128784,1.6683619022369385,0.0
UNK1-C26x,UNK1-O13x,1.449567198753357,1.4401140213012695,1.3182106018066406,1.5682604312896729,0.0
