block_ns,frames,protein_core_rmsd_A_mean,protein_core_rmsd_A_sd,backbone_rmsd_A_mean,backbone_rmsd_A_sd,ligand_pose_rmsd_A_mean,ligand_pose_rmsd_A_sd,ligand_internal_rmsd_A_mean,ligand_internal_rmsd_A_sd,ligand_com_displacement_A_mean,ligand_com_displacement_A_sd,ligand_pocket_com_distance_A_mean,ligand_pocket_com_distance_A_sd,protein_ligand_min_heavy_distance_A_mean,protein_ligand_min_heavy_distance_A_sd,contact_atoms_4A_mean,contact_atoms_4A_sd,contact_residues_4A_mean,contact_residues_4A_sd,initial_contact_residue_fraction_4A_mean,initial_contact_residue_fraction_4A_sd,ligand_sasa_nm2_mean,ligand_sasa_nm2_sd,ligand_z_from_membrane_center_A_mean,ligand_z_from_membrane_center_A_sd
0-20,400,0.8812419772148132,0.08841531723737717,1.424075722694397,0.22062526643276215,1.3740614652633667,0.21340371668338776,1.0764410495758057,0.24084602296352386,0.70209343618844,0.25443002835572737,1.3820763744815396,0.19761519279474796,2.5743212427943947,0.0726548014135424,58.99,5.996649022474708,21.21,1.5368163557426746,0.8771052631578948,0.048377761484169036,0.09281936287879944,0.06041897088289261,4.441861487336403,0.8519074791338195
20-40,400,0.9569140672683716,0.0625520572066307,1.8383734226226807,0.10310105234384537,1.3602617979049683,0.09282087534666061,1.1822280883789062,0.06939584761857986,0.6351925287567868,0.15105594126098948,1.4762589508629191,0.11149723106604831,2.5602630991488695,0.06021669610228375,62.395,4.018001473319665,21.8425,1.2314564395081196,0.8940789473684211,0.04089894930071025,0.07928193360567093,0.033615849912166595,4.774341188253777,1.0880390348004363
40-60,400,1.0128682851791382,0.058716654777526855,1.7318021059036255,0.11060065776109695,1.3288863897323608,0.08370038121938705,1.162456750869751,0.06178973615169525,0.5791620918312637,0.15307363279949313,1.476598513575623,0.10760013393685652,2.565968032553792,0.06692308797534044,62.9825,3.836533751717841,22.555,1.2023264832943994,0.9010526315789474,0.03537411151388641,0.08032938092947006,0.040719740092754364,8.079205092007484,1.1382554296976037
60-80,400,1.056405782699585,0.05390132591128349,1.7982563972473145,0.10358431935310364,1.3162330389022827,0.081419438123703,1.176573634147644,0.06494534015655518,0.5180962391182508,0.13845797399989354,1.4585800764348391,0.10966686758482198,2.572333012893796,0.06215044395153675,60.7075,4.134571374535433,22.235,1.3015414035145623,0.8768421052631578,0.03779552887485189,0.0642978698015213,0.036971285939216614,9.715925552195323,0.9163240163558644
80-100,400,1.0766865015029907,0.05106445401906967,1.686517596244812,0.10578183084726334,1.2268593311309814,0.07311740517616272,1.1277682781219482,0.05559692531824112,0.3701419952555802,0.14563478448846978,1.3724566440128811,0.12481484523922098,2.5689337115734814,0.06387860788056304,61.635,4.007108345582021,21.8825,1.2440107140381083,0.8867105263157895,0.029067038078738,0.05858160927891731,0.03384421765804291,8.723517962711385,0.9256793865284846
