GENERALIZED BORN:
Complex Energy Terms
Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL
0,-4950.4077,-39487.2962,-3762.7991,184.28039424,-44437.70389999999,-3578.51870576,-48016.22260576
1,-4959.627,-39438.8848,-3823.0633,183.15611783999998,-44398.5118,-3639.90718216,-48038.41898216
2,-4974.6805,-39314.4618,-3729.6097,181.75598208,-44289.1423,-3547.85371792,-47836.99601792
3,-5034.9506,-39463.1449,-3679.2562,182.70280295999999,-44498.095499999996,-3496.5533970399997,-47994.64889704
4,-4955.4229,-39430.9046,-3712.5979,183.3343848,-44386.3275,-3529.2635152000003,-47915.5910152
5,-4950.0335,-39369.5821,-3811.6636,186.12026856,-44319.6156,-3625.5433314399997,-47945.15893144
6,-4963.3858,-39453.9256,-3763.0691,184.29718536000001,-44417.311400000006,-3578.77191464,-47996.083314640004
7,-4970.6836,-39344.8452,-3836.3296,183.13613207999998,-44315.5288,-3653.19346792,-47968.72226792
8,-4941.3817,-39429.8303,-3807.6968,183.51191088,-44371.212,-3624.18488912,-47995.39688912
9,-4995.4235,-39266.8194,-3780.7477,184.25853288,-44262.2429,-3596.48916712,-47858.73206712
10,-5001.4526,-39248.6273,-3855.2875,184.47242688,-44250.0799,-3670.81507312,-47920.89497312
11,-5001.1391,-39508.4909,-3708.876,183.11965272,-44509.63,-3525.75634728,-48035.38634727999
12,-4958.7147,-39394.4338,-3804.2978,185.08568832,-44353.148499999996,-3619.21211168,-47972.36061167999
13,-4933.825,-39471.5048,-3707.2117,180.60345144,-44405.3298,-3526.60824856,-47931.93804856
14,-4955.2659,-39484.326,-3746.0263,186.85333512,-44439.5919,-3559.17296488,-47998.764864879995
15,-5012.7236,-39348.9045,-3718.1562,182.36743056,-44361.628099999994,-3535.7887694399997,-47897.41686943999
16,-4951.6118,-39379.7118,-3709.1485,183.07010736,-44331.323599999996,-3526.07839264,-47857.40199264
17,-4948.8475,-39515.5173,-3660.5823,182.91795048,-44464.364799999996,-3477.66434952,-47942.02914952
18,-4971.6941,-39564.3215,-3647.7891,182.66337792,-44536.0156,-3465.12572208,-48001.14132208
19,-4910.3199,-39624.5242,-3658.2972,183.0391344,-44534.8441,-3475.2580656,-48010.1021656
20,-5001.6773,-39391.437,-3632.1776,179.74448927999998,-44393.1143,-3452.43311072,-47845.547410720006
21,-4930.9029,-39522.441,-3718.3226,187.24188311999998,-44453.3439,-3531.08071688,-47984.42461688
22,-4972.8512,-39481.3647,-3751.2841,186.47673912,-44454.215899999996,-3564.80736088,-48019.02326087999
23,-4946.614,-39522.734,-3727.5507,186.04886399999998,-44469.348,-3541.501836,-48010.849836
24,-4938.3996,-39397.0559,-3725.792,182.788686,-44335.4555,-3543.003314,-47878.458814
25,-4997.6877,-39336.6436,-3705.5713,182.98560744,-44334.331300000005,-3522.58569256,-47856.91699256001
26,-4929.5938,-39489.4434,-3712.7337,184.37051448,-44419.0372,-3528.36318552,-47947.40038552
27,-4988.964,-39397.845,-3758.6662,184.23754992,-44386.809,-3574.42865008,-47961.23765008
28,-4959.9234,-39321.1077,-3705.512,183.13347816,-44281.0311,-3522.3785218400003,-47803.40962184
29,-4976.6276,-39217.4869,-3823.2903,185.96184336,-44194.1145,-3637.3284566400002,-47831.44295664001
30,-4970.3412,-39371.1315,-3780.4826,183.59841312,-44341.472700000006,-3596.88418688,-47938.35688688001
31,-4952.2032,-39374.1819,-3792.2562,184.51618344,-44326.3851,-3607.7400165599997,-47934.125116560004
32,-4967.2189,-39330.9843,-3822.6628,184.7314836,-44298.203199999996,-3637.9313164,-47936.134516399994
33,-4932.1847,-39525.5642,-3718.8771,185.79067919999997,-44457.7489,-3533.0864208000003,-47990.8353208
34,-4958.4086,-39483.8311,-3715.3628,184.69707119999998,-44442.239700000006,-3530.6657287999997,-47972.90542880001
35,-4976.5547,-39478.4604,-3682.5743,183.33634104,-44455.015100000004,-3499.23795896,-47954.25305896001
36,-4980.3529,-39494.429,-3721.9813,187.26863039999998,-44474.781899999994,-3534.7126696,-48009.49456959999
37,-4930.496,-39542.9955,-3720.8818,185.40743759999998,-44473.4915,-3535.4743624000002,-48008.9658624
38,-4971.1983,-39551.1031,-3668.4793,185.47257888,-44522.3014,-3483.00672112,-48005.30812112
39,-4969.8852,-39651.71,-3630.777,180.96410592,-44621.595199999996,-3449.81289408,-48071.40809408
40,-4939.5739,-39611.5034,-3712.1253,185.54920127999998,-44551.077300000004,-3526.57609872,-48077.65339872
41,-4984.1726,-39603.9335,-3669.3585,181.37293056,-44588.1061,-3487.98556944,-48076.09166944
42,-4949.9134,-39640.3846,-3574.5631,181.8901656,-44590.297999999995,-3392.6729344,-47982.97093439999
43,-4995.8661,-39595.4352,-3667.4659,181.97012736,-44591.3013,-3485.4957726400003,-48076.79707264
44,-5021.5095,-39546.4597,-3636.5231,179.95552704,-44567.9692,-3456.56757296,-48024.53677296
45,-4953.5037,-39633.1152,-3671.5293,181.26899568,-44586.6189,-3490.26030432,-48076.87920432
46,-4935.4524,-39646.1464,-3650.8276,180.10930824,-44581.5988,-3470.7182917600003,-48052.31709176
47,-4985.7719,-39542.2391,-3664.6571,183.62129975999997,-44528.011,-3481.03580024,-48009.046800239994
48,-4976.6758,-39616.2074,-3675.6577,182.87977248,-44592.8832,-3492.77792752,-48085.66112752
49,-5021.8624,-39624.2533,-3641.0739,183.44777688,-44646.115699999995,-3457.6261231199996,-48103.74182312
50,-4960.1575,-39557.2996,-3759.3325,185.36489784,-44517.4571,-3573.96760216,-48091.424702159995
51,-4960.2681,-39439.4822,-3758.6045,185.80020768,-44399.7503,-3572.80429232,-47972.554592320004
52,-4970.7667,-39489.705,-3738.0611,183.50885808,-44460.4717,-3554.5522419199997,-48015.02394192
53,-4988.9094,-39534.4732,-3675.8353,184.7971224,-44523.3826,-3491.0381776000004,-48014.4207776
54,-4974.9127,-39646.7821,-3659.3317,182.32090847999999,-44621.6948,-3477.01079152,-48098.70559152
55,-4994.92,-39598.9458,-3660.4631,182.85238728,-44593.8658,-3477.61071272,-48071.47651272
56,-4984.6157,-39590.0974,-3548.4991,182.85683112,-44574.7131,-3365.64226888,-47940.35536888
57,-4963.283,-39674.4907,-3554.4483,183.12387768,-44637.773700000005,-3371.32442232,-48009.09812232001
58,-4990.0156,-39506.1757,-3648.4436,182.16058175999999,-44496.1913,-3466.2830182400003,-47962.47431824
59,-4970.2496,-39621.7393,-3588.1453,185.73001847999998,-44591.988900000004,-3402.41528152,-47994.40418152
60,-4975.3958,-39446.2323,-3667.7726,184.4311572,-44421.6281,-3483.3414427999996,-47904.9695428
61,-4988.4529,-39531.8502,-3591.6401,182.74385952,-44520.303100000005,-3408.89624048,-47929.19934048
62,-4956.9323,-39522.6269,-3664.8361,183.25867319999998,-44479.5592,-3481.5774268,-47961.136626800006
63,-4907.3938,-39589.8369,-3675.0037,185.16070512,-44497.2307,-3489.8429948800003,-47987.073694880004
64,-4987.7505,-39400.9462,-3675.1439,181.6688268,-44388.6967,-3493.4750732,-47882.1717732
65,-5011.4961,-39425.3258,-3730.572,182.67699384,-44436.821899999995,-3547.8950061600003,-47984.71690615999
66,-4969.8788,-39479.8063,-3648.5557,182.42445456000002,-44449.685099999995,-3466.13124544,-47915.81634543999
67,-4958.8536,-39584.5201,-3628.206,183.58225127999998,-44543.373700000004,-3444.62374872,-47987.99744872
68,-4951.9831,-39473.6013,-3662.413,184.3419852,-44425.5844,-3478.0710148,-47903.6554148
69,-4977.8112,-39480.544,-3710.3387,180.81167471999998,-44458.355200000005,-3529.5270252799996,-47987.88222528001
70,-4936.515,-39619.8931,-3594.4562,183.57631415999998,-44556.4081,-3410.87988584,-47967.287985840005
71,-4965.9059,-39580.8068,-3653.6163,182.17882224,-44546.7127,-3471.43747776,-48018.15017776
72,-4948.2715,-39668.4938,-3523.5939,181.18525824,-44616.7653,-3342.4086417599997,-47959.17394176
73,-4991.5774,-39652.9411,-3516.1805,180.61398576,-44644.5185,-3335.56651424,-47980.08501424
74,-4980.9409,-39698.868,-3553.3302,181.89581976,-44679.8089,-3371.43438024,-48051.24328024
75,-4979.1911,-39570.5153,-3532.9901,184.05703655999997,-44549.706399999995,-3348.93306344,-47898.63946344
76,-4953.2064,-39615.5256,-3642.632,183.87189863999998,-44568.732,-3458.76010136,-48027.49210136
77,-4986.2765,-39584.2583,-3575.7539,184.95586944000001,-44570.5348,-3390.7980305600004,-47961.33283056001
78,-4959.7523,-39584.3644,-3677.6677,186.46668648,-44544.1167,-3491.20101352,-48035.317713519995
79,-4961.0755,-39513.037,-3604.8642,179.81445672,-44474.112499999996,-3425.04974328,-47899.16224328
80,-4959.3615,-39501.2606,-3645.2094,184.15207872,-44460.6221,-3461.05732128,-47921.67942128
