time_ns,backbone_rmsd_A,ligand_rmsd_A
0.0,0.0,0.0
0.04999999999881766,0.6836423,0.25642902
0.09999999999763577,0.7321381,0.43676272
0.14999999999645297,0.71462965,0.2566207
0.19999999999527063,0.79787135,0.3626454
0.24999999999408828,0.8024533,0.57483065
0.29999999999290594,0.9297801,0.5502569
0.3499999999917236,0.9316155,0.4313178
0.39999999999054126,0.9259636,0.3516515
0.44999999998935936,0.9976107,0.33513135
0.49999999998817657,1.034232,0.40744063
0.5499999999869942,1.0468045,0.3073749
0.5999999999858114,0.9699139,0.4290663
0.6499999999846295,1.0145476,0.5851129
0.6999999999834476,1.0011542,0.43505695
0.7499999999822649,0.9332687,0.29244947
0.7999999999810825,1.0095665,0.52582985
0.8499999999799002,0.92564857,0.4710111
0.8999999999787178,0.9378999,0.3190639
0.9499999999775355,0.95537215,0.5247916
0.9999999999763527,0.9408271,0.4477169
1.0499999999751708,0.99178886,0.49929592
1.0999999999739885,1.1811087,0.31179827
1.149999999972806,1.0188503,0.3942966
1.1999999999716238,1.103798,0.32842132
1.2499999999704414,1.0854528,0.39871234
1.2999999999692595,0.9401626,0.3893067
1.3499999999680767,1.0534697,0.3156267
1.399999999966894,1.0529554,0.40237308
1.4499999999657125,0.9602439,0.31188905
1.4999999999645297,1.0045193,0.4985911
1.5499999999642564,0.9749693,0.40710035
1.5999999999744428,1.0125334,0.3382427
1.649999999984629,1.0481967,0.39107487
1.6999999999948154,1.011051,0.4732803
1.7500000000050018,1.0734495,0.44144243
1.8000000000151881,1.1182724,0.44852495
1.8500000000253745,1.1889488,0.47734645
1.9000000000355608,1.1066629,0.28245497
1.950000000045748,1.1313105,0.33109194
2.0000000000559335,1.1794144,0.25159517
2.05000000006612,1.1142416,0.30099678
2.100000000076307,1.1752032,0.43032166
2.1500000000864925,1.2365289,0.2776127
2.200000000096679,1.1540254,0.31269544
2.250000000106865,1.197677,0.4934299
2.3000000001170515,1.2476982,0.70097494
2.350000000127238,1.1980944,0.49067408
2.400000000137424,1.3499589,0.4713179
2.4500000001476105,1.2896986,0.68943036
2.500000000157797,1.1663069,0.37524265
2.5500000001679832,1.1911194,0.47905403
2.6000000001781696,1.2503332,0.44973594
2.650000000188356,1.2387506,0.62166756
2.7000000001985422,1.2068256,1.0831028
2.7500000002087286,1.235349,1.2510438
2.800000000218915,1.165878,1.0163437
2.8500000002291013,1.2360234,1.3016462
2.9000000002392876,1.2821822,1.3160312
2.950000000249474,1.2543585,1.5313008
3.0000000002596603,1.1665211,1.5343039
3.0500000002698466,1.307823,1.5480624
3.100000000280033,1.3570385,1.4543333
3.1500000002902193,1.325888,1.5112758
3.2000000003004057,1.3840324,1.5774225
3.250000000310592,1.3211033,1.5199249
3.3000000003207783,1.3265164,1.6270732
3.3500000003309647,1.2170697,1.4945514
3.400000000341151,1.1679132,1.5456676
3.4500000003513374,1.1103461,1.4924352
3.5000000003615237,1.218062,1.729573
3.55000000037171,1.1219176,1.5176713
3.6000000003818964,1.3295593,1.7084132
3.6500000003920827,1.2214093,1.5381111
3.700000000402269,1.280101,1.6249609
3.7500000004124554,1.4378036,1.6146631
3.8000000004226417,1.1981292,1.6153708
3.850000000432828,1.2177883,1.5581031
3.9000000004430144,1.348384,1.5669245
3.9500000004532008,1.2216822,1.5553473
4.000000000463388,1.1700871,1.5889392
4.050000000473573,1.2205905,1.6360928
