time_ns,ligand_pose_rmsd_A,ligand_sasa_nm2,protein_ligand_contact_atoms_4A,protein_ligand_contact_atoms_8A
0.0,0.0,0.036902614,61,350
0.5,1.6583042,0.057603423,56,361
1.0,1.6432745,0.07827821,65,354
1.5,1.9581391,0.093242,51,354
2.0,2.4841137,0.10429709,55,352
2.5,2.323165,0.114400074,58,357
3.0,2.4043522,0.36087406,51,358
3.5,2.1856973,0.17310055,60,361
4.0,2.0749254,0.18389612,51,353
4.5,2.3608027,0.21085681,59,357
5.0,2.3740313,0.24438766,61,361
5.5,2.59951,0.168705,56,353
6.0,2.452035,0.06660865,63,368
6.5,2.4343948,0.07237764,63,366
7.0,2.3876033,0.16811895,50,356
7.5,2.680407,0.15274581,54,358
8.0,2.7050037,0.29289806,59,356
8.5,2.2825763,0.18320113,60,359
9.0,2.4274056,0.20747763,50,348
9.5,2.4588406,0.20912023,44,344
10.0,2.4275055,0.13377854,57,358
10.5,2.863344,0.2840772,50,347
11.0,2.6162946,0.25890365,52,356
11.5,2.3430126,0.12018719,59,362
12.0,2.5775862,0.17162482,59,354
12.5,2.3621557,0.15016988,55,352
13.0,2.300092,0.2375297,58,352
13.5,2.677073,0.20815542,54,347
14.0,2.413814,0.23189458,55,342
14.5,2.5818734,0.20541066,62,359
15.0,2.4398785,0.25721696,52,355
15.5,2.15567,0.21699741,54,346
16.0,2.469472,0.15136176,63,364
16.5,2.414146,0.18274522,59,363
17.0,2.088912,0.13958056,49,353
17.5,2.3499722,0.15843534,57,350
18.0,2.1942735,0.1954369,59,352
18.5,2.4100451,0.1554434,54,351
19.0,2.2193446,0.08396651,57,349
19.5,2.4132674,0.19683152,58,349
20.0,2.0604668,0.11844282,55,360
20.5,2.454646,0.14144792,56,349
21.0,2.4367096,0.13987781,63,354
21.5,2.432009,0.1950733,62,351
22.0,2.4281225,0.20370455,66,349
22.5,2.3113213,0.24868165,62,358
23.0,2.495872,0.19909704,63,356
23.5,2.568081,0.09667054,63,355
24.0,2.3533723,0.15894328,71,357
24.5,2.4942973,0.1774871,66,359
25.0,2.359471,0.093619615,68,361
25.5,2.2224,0.17255098,56,350
26.0,2.280338,0.1598427,64,353
26.5,2.339625,0.20288353,56,360
27.0,2.4994113,0.13142136,67,362
27.5,2.3388863,0.09870589,63,348
28.0,2.5384352,0.18355146,57,354
28.5,2.5819173,0.2865614,54,356
29.0,2.6003764,0.2101361,61,355
29.5,2.2790015,0.2202631,52,343
30.0,2.1195598,0.16370909,63,354
30.5,2.2791214,0.16438149,61,353
31.0,2.1802835,0.1626634,65,358
31.5,2.3564715,0.14866039,62,355
32.0,2.2606082,0.12843327,61,357
32.5,2.3340225,0.24225971,58,354
33.0,2.3198643,0.19833733,57,347
33.5,1.9659942,0.21714808,52,346
34.0,2.225436,0.2673681,55,352
34.5,2.1502738,0.1992838,62,347
35.0,2.1232789,0.28348777,57,353
35.5,2.3305202,0.23241743,60,360
36.0,2.1710086,0.23322365,59,351
36.5,2.0821888,0.1455893,61,347
37.0,2.1659813,0.12522379,57,348
37.5,2.2016714,0.17301661,64,352
38.0,2.2363598,0.24087708,61,354
38.5,2.2721314,0.30743286,68,355
39.0,2.246152,0.20712744,61,357
39.5,2.191887,0.19577476,63,368
40.0,2.1627817,0.12587677,66,357
40.5,2.154849,0.21394554,60,349
41.0,2.118931,0.2724848,58,350
41.5,2.3448334,0.20406814,61,345
42.0,2.2124503,0.13517782,54,343
42.5,2.2563198,0.19136384,62,342
43.0,2.1652315,0.25105146,62,358
43.5,2.1525578,0.24424373,61,348
44.0,2.1422858,0.15899518,58,349
44.5,2.175544,0.14389035,60,347
45.0,2.3323615,0.119634904,56,350
45.5,2.2204332,0.28850514,58,346
46.0,2.1358378,0.2775311,59,349
46.5,2.218114,0.28941545,61,350
47.0,2.268758,0.1851239,60,343
47.5,2.364628,0.19848892,57,350
48.0,2.2336457,0.2930204,59,342
48.5,2.1540036,0.20388648,64,350
49.0,2.0709796,0.16960147,63,354
49.5,2.302264,0.12267066,59,352
50.0,2.158767,0.21691933,62,354
50.5,2.2321906,0.15697455,61,356
51.0,2.098237,0.138738,62,351
51.5,2.1592965,0.30132493,51,348
52.0,2.2800384,0.19061023,57,350
52.5,2.1389475,0.2006153,59,352
53.0,2.396958,0.34672526,61,350
53.5,2.1979678,0.25575927,61,341
54.0,2.453591,0.27291563,57,353
54.5,2.4218884,0.29316503,54,349
55.0,2.26575,0.17401572,61,354
55.5,2.2629323,0.32870382,52,349
56.0,2.2630022,0.17285587,60,348
56.5,2.257928,0.2231598,64,352
57.0,2.1908817,0.2305311,58,348
57.5,2.0982032,0.29866087,53,339
58.0,2.0376215,0.14201227,62,348
58.5,2.1935978,0.30284938,58,347
59.0,2.051591,0.16914131,64,351
59.5,2.16709,0.19495057,57,351
60.0,2.1752374,0.15790077,65,358
60.5,2.0074537,0.27124214,58,355
61.0,2.098507,0.19132316,62,350
61.5,2.257804,0.14867544,53,348
62.0,2.2120156,0.17731142,59,351
62.5,2.1836383,0.16749834,63,352
63.0,2.4721353,0.16463286,64,356
63.5,2.0912998,0.14437652,61,355
64.0,2.0598707,0.14020148,63,356
64.5,2.1536992,0.25431868,49,344
65.0,2.080424,0.19035482,61,353
65.5,2.1089358,0.1954048,58,352
66.0,2.218778,0.2467573,58,354
66.5,2.0188663,0.19224653,61,350
67.0,2.1310043,0.23143807,61,357
67.5,2.0629916,0.21673149,58,348
68.0,2.2004497,0.18182921,60,348
68.5,2.0805442,0.093459554,62,351
69.0,2.110398,0.19556186,58,357
69.5,2.2853258,0.14253357,64,356
70.0,1.9914216,0.089208886,63,349
70.5,2.0623722,0.11980367,64,348
71.0,2.0656207,0.13280565,65,360
71.5,2.1726828,0.24659064,64,351
72.0,2.1801095,0.15477388,64,348
72.5,2.1163526,0.1777494,63,349
73.0,2.0776951,0.18962765,65,356
73.5,2.036962,0.17187984,61,355
74.0,2.2071226,0.13741504,64,357
74.5,2.092207,0.18359849,62,351
75.0,2.0464244,0.17392157,55,354
75.5,1.9914316,0.1353705,67,351
76.0,2.1506703,0.17626463,58,358
76.5,2.1016078,0.22026128,63,345
77.0,2.222709,0.11458723,70,365
77.5,2.0497556,0.16293785,55,347
78.0,1.9876446,0.14358999,60,358
78.5,2.2881267,0.17957218,62,346
79.0,1.9872954,0.25371605,59,349
79.5,2.2708707,0.2033473,71,355
