GENERALIZED BORN:
Complex Energy Terms
Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL
0,-4933.0305,-39444.9337,-3966.0775,189.53461656,-44377.9642,-3776.54288344,-48154.50708344
1,-4923.6466,-39274.294,-3988.7901,195.09014664,-44197.9406,-3793.69995336,-47991.64055336
2,-4878.4798,-39450.9611,-3832.5968,189.58950936,-44329.4409,-3643.0072906399996,-47972.44819064
3,-4932.7196,-39228.6847,-4016.9588,196.00986095999997,-44161.404299999995,-3820.94893904,-47982.35323903999
4,-4959.6916,-39339.0462,-3918.1907,193.39109423999997,-44298.737799999995,-3724.7996057600003,-48023.53740575999
5,-4910.7878,-39414.8025,-3929.2879,192.11797296,-44325.590299999996,-3737.16992704,-48062.76022704
6,-4949.3308,-39318.9591,-3964.7092,190.31572008,-44268.2899,-3774.3934799199997,-48042.68337992
7,-4960.4727,-39425.7126,-3894.0091,191.1771468,-44386.1853,-3702.8319532,-48089.0172532
8,-4953.6495,-39265.7579,-3939.4633,187.96437576,-44219.4074,-3751.4989242399997,-47970.90632424
9,-4911.2968,-39352.651,-3983.3061,188.02690416,-44263.947799999994,-3795.27919584,-48059.22699584
10,-5001.2579,-39164.6966,-4066.0162,188.7962724,-44165.9545,-3877.2199276,-48043.174427599995
11,-4994.2841,-39349.0696,-3937.5227,186.42485159999998,-44343.3537,-3751.0978484,-48094.4515484
12,-4944.0992,-39236.2022,-3958.4892,186.58035576,-44180.3014,-3771.90884424,-47952.21024423999
13,-5013.9778,-39280.2367,-3967.0935,187.61560128,-44294.2145,-3779.4778987199998,-48073.692398720006
14,-4949.6985,-39241.7151,-3966.175,189.6421932,-44191.4136,-3776.5328068000003,-47967.9464068
15,-4915.5159,-39412.9455,-3834.8471,188.02989,-44328.4614,-3646.81721,-47975.27861
16,-4923.185,-39403.8954,-3873.1057,184.81834007999998,-44327.0804,-3688.28735992,-48015.36775992
17,-4942.782,-39323.5273,-3976.0143,189.05150447999998,-44266.3093,-3786.96279552,-48053.272095520006
18,-4949.7084,-39271.8504,-3954.1431,187.47153071999998,-44221.558800000006,-3766.67156928,-47988.230369280005
19,-4983.2405,-39217.7651,-3986.467,189.22296383999998,-44201.0056,-3797.24403616,-47998.24963615999
20,-4939.3219,-39364.0817,-3854.0077,186.471738,-44303.403600000005,-3667.535962,-47970.93956200001
21,-4922.2486,-39350.4943,-3938.2648,191.30642856,-44272.7429,-3746.95837144,-48019.70127144
22,-4953.2051,-39405.1604,-3958.7707,189.95992488,-44358.3655,-3768.81077512,-48127.17627512
23,-4971.1621,-39323.4048,-3944.4666,186.13579824,-44294.5669,-3758.33080176,-48052.89770176
24,-4958.6607,-39365.7468,-3920.4409,185.38524575999998,-44324.4075,-3735.05565424,-48059.46315424
25,-4952.7412,-39375.1598,-3977.3342,188.1310068,-44327.901,-3789.2031932,-48117.10419319999
26,-4954.1527,-39465.3726,-3920.4348,190.04507568,-44419.5253,-3730.38972432,-48149.915024320006
