block_ns,frames,protein_core_rmsd_A_mean,protein_core_rmsd_A_sd,backbone_rmsd_A_mean,backbone_rmsd_A_sd,ligand_pose_rmsd_A_mean,ligand_pose_rmsd_A_sd,ligand_internal_rmsd_A_mean,ligand_internal_rmsd_A_sd,ligand_com_displacement_A_mean,ligand_com_displacement_A_sd,ligand_pocket_com_distance_A_mean,ligand_pocket_com_distance_A_sd,protein_ligand_min_heavy_distance_A_mean,protein_ligand_min_heavy_distance_A_sd,contact_atoms_4A_mean,contact_atoms_4A_sd,contact_residues_4A_mean,contact_residues_4A_sd,initial_contact_residue_fraction_4A_mean,initial_contact_residue_fraction_4A_sd,ligand_sasa_nm2_mean,ligand_sasa_nm2_sd,ligand_z_from_membrane_center_A_mean,ligand_z_from_membrane_center_A_sd
0-20,400,0.7820713520050049,0.08254878222942352,1.799536108970642,0.30043351650238037,2.1443822383880615,0.41154614090919495,1.1770862340927124,0.2689970135688782,1.6574470152326188,0.4572280611203292,1.5791940379989047,0.24087054222876828,2.6146504554897545,0.0967530829066532,52.86,5.508289492467882,19.96,1.7794144512939318,0.73,0.08307728381803697,0.23772647976875305,0.10418424755334854,4.413751639199703,0.9251938596550661
20-40,400,0.8778095841407776,0.0533580519258976,1.903170108795166,0.10769426822662354,2.4123919010162354,0.22990258038043976,1.4834572076797485,0.14014513790607452,1.831840407645613,0.22615375872286558,1.5367767926292555,0.16617063941528262,2.626890419051051,0.09876917685952531,56.305,4.593443622248666,20.7675,1.4277745271052522,0.7516666666666666,0.05557737453659126,0.15966880321502686,0.0446869395673275,4.409952877174464,1.065466213525623
40-60,400,0.8647935390472412,0.060882817953825,1.8782706260681152,0.1079261377453804,2.425682783126831,0.21430660784244537,1.497501254081726,0.14510248601436615,1.8435606847329546,0.2091350766590677,1.5413912898727415,0.16429013647963905,2.6265822015702724,0.10591525441829754,56.0775,4.221498118667683,20.4575,1.3276295607685777,0.7564285714285713,0.05366288224892879,0.16550637781620026,0.04676211625337601,5.446449209866555,0.9164396144669725
60-80,400,0.8788149356842041,0.04641490429639816,2.34494686126709,0.5188358426094055,2.552281618118286,0.27672308683395386,1.533341884613037,0.18722094595432281,1.9430732036081972,0.2682758064637888,1.6494091183009332,0.23932133743823145,2.59967748336494,0.09495657453916097,58.1525,5.063926552619599,20.9375,1.5571304982149627,0.738452380952381,0.0624380301329702,0.11983223259449005,0.05906142294406891,5.061013024775839,0.7716294890647173
80-100,400,0.8608596920967102,0.0455910749733448,2.289004325866699,0.14020425081253052,2.5061023235321045,0.29457414150238037,1.5120174884796143,0.119633749127388,1.9027798846409398,0.3135380151432609,1.6531880328336894,0.20088184734303363,2.588542752340436,0.08730660112394512,58.455,4.4578757992573115,20.8375,1.6637348900774884,0.7097619047619048,0.055622349154136524,0.122279092669487,0.058155231177806854,4.898652227630164,0.9787946751795845
