selected_index,frame_index,time_ns,cluster_id,distance_to_cluster_medoid_A,is_medoid
0,1599,79.94999993638338,1,1.6842345097404845,False
1,1600,79.99999993621167,1,1.3548746835307242,False
2,1601,80.04999993603995,1,1.6369768770816504,False
3,1602,80.09999993586824,1,1.6983128308211994,False
4,1603,80.14999993569653,1,1.71734494204093,False
5,1604,80.19999993552481,1,1.4886051954279564,False
6,1605,80.2499999353531,1,1.3939058011934666,False
7,1606,80.29999993518139,1,1.487665843949562,False
8,1607,80.34999993500968,1,1.465863201034034,False
9,1608,80.39999993483796,1,1.4032050594125332,False
10,1609,80.44999993466625,1,1.6264153259134537,False
11,1610,80.49999993449454,1,1.6814628826322278,False
12,1611,80.54999993432283,1,1.4708290867090537,False
13,1612,80.59999993415111,1,1.2092337615789621,False
14,1613,80.6499999339794,1,1.1888223461581293,False
15,1614,80.69999993380769,1,1.6046110288718929,False
16,1615,80.74999993363598,1,1.375040428967607,False
17,1616,80.79999993346426,1,1.0282924176401358,False
18,1617,80.84999993329255,1,2.002114818709166,False
19,1618,80.89999993312084,1,1.6575213996851181,False
20,1619,80.94999993294913,1,0.7878987102690247,False
21,1620,80.99999993277741,1,0.8742290253248092,False
22,1621,81.0499999326057,1,1.1694462776156693,False
23,1622,81.09999993243399,1,1.256444951272488,False
24,1623,81.14999993226228,1,0.7154288341975084,False
25,1624,81.19999993209056,1,0.6629800075482827,False
26,1625,81.24999993191885,1,0.610404013031332,False
27,1626,81.29999993174714,1,1.3364084622751706,False
28,1627,81.34999993157543,1,0.8067319875371471,False
29,1628,81.39999993140371,1,0.5561430614491742,False
30,1629,81.449999931232,1,0.6527217363016347,False
31,1630,81.49999993106029,1,0.6805169903054554,False
32,1631,81.54999993088857,1,0.5150866187234643,False
33,1632,81.59999993071686,1,0.7377708167933701,False
34,1633,81.64999993054515,1,1.4143143564628022,False
35,1634,81.69999993037344,1,0.9014236919149415,False
36,1635,81.74999993020172,1,0.982262048288292,False
37,1636,81.79999993003001,1,0.8536905789717946,False
38,1637,81.8499999298583,1,0.7791339978807766,False
39,1638,81.89999992968659,1,0.46063567206442435,False
40,1639,81.94999992951487,1,0.9393021335060526,False
41,1640,81.99999992934316,1,0.8646142728526656,False
42,1641,82.04999992917145,1,0.6974436869693748,False
43,1642,82.09999992899974,1,0.36885256311979586,False
44,1643,82.14999992882802,1,1.233570731546653,False
45,1644,82.19999992865631,1,1.03083217159966,False
46,1645,82.2499999284846,1,0.9862742543200964,False
47,1646,82.29999992831289,1,0.9988918422857693,False
48,1647,82.34999992814117,1,1.0722132785930243,False
49,1648,82.39999992796946,1,0.9725021991286584,False
50,1649,82.44999992779775,1,1.1003178239699392,False
51,1650,82.49999992762604,1,0.9277068124211135,False
52,1651,82.54999992745432,1,1.1182114285055342,False
53,1652,82.5999999272826,1,1.1511026151392874,False
54,1653,82.6499999271109,1,1.0900338869932689,False
55,1654,82.69999992693919,1,1.1111171021459127,False
56,1655,82.74999992676749,1,1.0324401741620486,False
57,1656,82.79999992659576,1,1.0462330670633546,False
58,1657,82.84999992642405,1,1.5639428996711788,False
59,1658,82.89999992625232,1,1.1891285389496262,False
60,1659,82.94999992608062,1,1.0404517537425213,False
61,1660,82.99999992590892,1,1.1750514943151489,False
62,1661,83.0499999257372,1,1.1227724652525706,False
63,1662,83.09999992556548,1,1.0099295266854476,False
64,1663,83.14999992539376,1,1.1434977853214443,False
65,1664,83.19999992522206,1,1.0707897022058313,False
66,1665,83.24999992505036,1,0.9101185365599562,False
67,1666,83.29999992487865,1,1.2473802811726324,False
68,1667,83.34999992470692,1,0.9899504823894056,False
69,1668,83.3999999245352,1,0.8025553912781722,False
70,1669,83.44999992436348,1,1.1509513506583744,False
71,1670,83.49999992419178,1,0.9126896385921279,False
72,1671,83.54999992402009,1,0.9756108809154871,False
73,1672,83.59999992384836,1,1.051188476647982,False
74,1673,83.64999992367665,1,1.1215591823567452,False
75,1674,83.69999992350492,1,1.3774833087135228,False
76,1675,83.74999992333322,1,0.9721102084944327,False
77,1676,83.79999992316152,1,1.2303427223185994,False
78,1677,83.8499999229898,1,1.0393778526196682,False
79,1678,83.89999992281808,1,0.9616497233083185,False
80,1679,83.94999992264636,1,0.9514564528001255,False
81,1680,83.99999992247466,1,1.3295534814162566,False
82,1681,84.04999992230294,1,1.0162514325885084,False
83,1682,84.09999992213125,1,1.0443233194595662,False
84,1683,84.14999992195952,1,1.3830145475858082,False
85,1684,84.1999999217878,1,1.4936751132190607,False
86,1685,84.24999992161608,1,1.9060800095787331,False
87,1686,84.29999992144438,1,1.3603285498458717,False
88,1687,84.34999992127268,1,1.3850397529762148,False
89,1688,84.39999992110096,1,1.6306687975969294,False
90,1689,84.44999992092924,1,0.8933856090470873,False
91,1690,84.49999992075752,1,1.541394450927989,False
92,1691,84.54999992058582,1,1.1123191167150093,False
93,1692,84.59999992041412,1,1.5634585501894505,False
94,1693,84.64999992024241,1,1.729816583178242,False
95,1694,84.69999992007068,1,2.046239912973952,False
96,1695,84.74999991989897,1,1.4186373799658019,False
97,1696,84.79999991972726,1,1.7102958489823497,False
98,1697,84.84999991955554,1,1.5694903488100427,False
99,1698,84.89999991938384,1,1.5670820334653208,False
100,1699,84.94999991921212,1,1.3042667885814418,False
101,1700,84.9999999190404,1,1.3998419329217722,False
102,1701,85.04999991886868,1,0.8516990297255366,False
103,1702,85.09999991869698,1,1.2508188627745376,False
104,1703,85.14999991852527,1,0.7337778036272219,False
105,1704,85.19999991835356,1,1.1730824939957858,False
106,1705,85.24999991818184,1,1.0759319496054816,False
107,1706,85.29999991801012,1,0.847582206895533,False
108,1707,85.34999991783842,1,1.171306992868871,False
109,1708,85.3999999176667,1,1.3242104374762451,False
110,1709,85.449999917495,1,1.146434255395797,False
111,1710,85.49999991732328,1,0.819466068699769,False
112,1711,85.54999991715157,1,1.0925554174061234,False
113,1712,85.59999991697985,1,0.9830457432731268,False
114,1713,85.64999991680814,1,0.9559626118900342,False
115,1714,85.69999991663644,1,0.9537885151141311,False
116,1715,85.74999991646472,1,0.8790180937387958,False
117,1716,85.799999916293,1,0.934641150883148,False
118,1717,85.84999991612128,1,1.1784558915428787,False
119,1718,85.89999991594958,1,1.6611791760718833,False
120,1719,85.94999991577787,1,1.4289251723806762,False
