GENERALIZED BORN:
Complex Energy Terms
Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL
0,-4927.482,-39401.5033,-3925.3506,188.93529648,-44328.9853,-3736.41530352,-48065.40060352
1,-4936.3839,-39357.1436,-3943.5224,186.79237487999998,-44293.527500000004,-3756.73002512,-48050.25752512
2,-4992.1239,-39275.9376,-3967.9033,187.87180175999998,-44268.061499999996,-3780.03149824,-48048.09299824
3,-4958.5537,-39392.8143,-3890.9006,188.33306904,-44351.368,-3702.56753096,-48053.93553096
4,-4950.4954,-39458.8281,-3799.7955,190.46443392,-44409.3235,-3609.3310660800003,-48018.65456608
5,-4880.8587,-39309.508,-3982.1043,190.04459975999998,-44190.3667,-3792.05970024,-47982.42640024
6,-4983.6887,-39478.3151,-3837.5253,191.12566392,-44462.0038,-3646.3996360799997,-48108.40343608
7,-4968.9904,-39286.9045,-3985.1107,187.832268,-44255.8949,-3797.278432,-48053.173332
8,-4955.0333,-39299.7277,-3989.81,187.62572808,-44254.761000000006,-3802.18427192,-48056.945271920005
9,-4951.7636,-39470.9406,-3854.2076,184.73957928,-44422.7042,-3669.4680207200004,-48092.17222072
10,-4981.8874,-39409.252,-3783.1633,181.20281328000002,-44391.1394,-3601.96048672,-47993.09988672
11,-4959.9083,-39401.416,-3899.5089,185.775102,-44361.3243,-3713.7337979999998,-48075.058098
12,-4999.3143,-39417.8981,-3821.2283,183.87013536,-44417.2124,-3637.3581646400003,-48054.57056464
13,-5016.3873,-39445.0422,-3807.8638,184.43679840000001,-44461.429500000006,-3623.4270016,-48084.85650160001
14,-4984.2738,-39373.9452,-3909.9453,187.63529904,-44358.219000000005,-3722.31000096,-48080.52900096001
15,-4961.8401,-39403.0117,-3878.5988,185.86956744,-44364.851800000004,-3692.72923256,-48057.58103256
16,-4920.3991,-39404.8755,-3860.7829,184.72290336,-44325.274600000004,-3676.05999664,-48001.33459664
17,-4982.8379,-39330.116,-4008.8078,186.5727756,-44312.9539,-3822.2350244,-48135.188924400005
18,-5013.2289,-39384.6837,-3885.5703,186.36291576,-44397.9126,-3699.20738424,-48097.11998424
19,-5001.6955,-39335.1636,-3872.4791,186.64762032,-44336.8591,-3685.83147968,-48022.69057968
20,-4962.4371,-39322.6029,-4025.5287,191.508858,-44285.04,-3834.0198419999997,-48119.059842
21,-4990.9357,-39395.4519,-3890.9621,187.72280784,-44386.3876,-3703.2392921600003,-48089.62689216
22,-4949.3908,-39459.5932,-3831.77,186.71929416,-44408.984000000004,-3645.05070584,-48054.03470584
23,-4971.6196,-39386.678,-3840.5681,186.93814536,-44358.2976,-3653.62995464,-48011.927554639995
24,-4992.0594,-39474.029,-3803.9797,186.10199352,-44466.0884,-3617.8777064799997,-48083.96610648
25,-4993.3809,-39516.8359,-3799.6788,188.02785096,-44510.216799999995,-3611.6509490400003,-48121.86774903999
26,-4957.5031,-39480.8032,-3799.3626,185.32493712,-44438.306300000004,-3614.03766288,-48052.343962880004
27,-5007.8901,-39423.1242,-3825.9522,183.71451599999997,-44431.014299999995,-3642.237684,-48073.251983999995
28,-4971.1635,-39387.0399,-3860.8371,186.59284416,-44358.203400000006,-3674.2442558400003,-48032.447655840006
29,-5010.9631,-39272.5927,-3935.1992,183.06914039999998,-44283.5558,-3752.1300596,-48035.6858596
30,-5011.8771,-39302.6169,-3915.4767,185.80690224,-44314.494,-3729.66979776,-48044.16379776
31,-4972.3785,-39417.2382,-3814.2803,185.76388943999999,-44389.6167,-3628.5164105599997,-48018.13311056
32,-4994.8023,-39477.6315,-3786.3876,186.05817503999998,-44472.433800000006,-3600.32942496,-48072.76322496001
33,-4987.0592,-39371.6792,-3853.2634,188.36936064,-44358.7384,-3664.8940393599996,-48023.63243936
34,-5010.2216,-39326.2325,-3856.251,185.49413927999998,-44336.454099999995,-3670.75686072,-48007.21096071999
35,-4960.1946,-39386.1684,-3855.842,186.37016903999998,-44346.363000000005,-3669.4718309600003,-48015.834830960004
36,-4966.2576,-39330.959,-3857.6407,186.73768512,-44297.2166,-3670.90301488,-47968.11961488
37,-4962.9541,-39452.0363,-3822.9783,187.49226312000002,-44414.9904,-3635.48603688,-48050.47643688
38,-4948.7089,-39346.5252,-3783.8286,185.5822896,-44295.234099999994,-3598.2463104,-47893.48041039999
39,-4942.7704,-39406.9615,-3836.3584,187.88393736,-44349.7319,-3648.47446264,-47998.20636264
40,-4978.2645,-39447.6973,-3761.4608,184.63642632,-44425.9618,-3576.82437368,-48002.78617368
41,-5012.2586,-39335.4564,-3893.7588,189.02183688,-44347.715000000004,-3704.73696312,-48052.45196312001
42,-5030.1769,-39458.5585,-3819.1414,186.93758376,-44488.7354,-3632.20381624,-48120.939216239996
43,-4985.0488,-39314.9482,-3840.2851,183.44537712,-44299.996999999996,-3656.83972288,-47956.83672288
44,-4945.0123,-39424.1389,-3898.3899,189.20416752,-44369.1512,-3709.1857324800003,-48078.33693248
45,-4996.0782,-39543.1122,-3825.5817,183.84080976,-44539.19040000001,-3641.74089024,-48180.93129024001
46,-4971.6256,-39297.2963,-3976.1957,188.89239959999998,-44268.9219,-3787.3033004000004,-48056.2252004
47,-4989.3732,-39383.7389,-3872.3457,188.09207064,-44373.1121,-3684.2536293599996,-48057.36572936
48,-4977.9211,-39262.4576,-3888.5399,188.23806431999998,-44240.3787,-3700.3018356800003,-47940.68053568
49,-5015.1676,-39312.8903,-3898.1737,185.80083984,-44328.0579,-3712.3728601599996,-48040.43076016
50,-4979.7316,-39438.619,-3921.3002,187.754688,-44418.3506,-3733.545512,-48151.896111999995
51,-4983.604,-39589.1787,-3749.6432,185.61247128,-44572.782699999996,-3564.03072872,-48136.813428719994
52,-4972.0935,-39550.6314,-3829.6827,187.59733272,-44522.7249,-3642.08536728,-48164.81026728
53,-4984.4222,-39446.6113,-3791.8218,184.86161496,-44431.0335,-3606.9601850400004,-48037.99368504
54,-4955.4472,-39445.8369,-3830.552,186.19358472,-44401.284100000004,-3644.3584152800004,-48045.64251528001
55,-4977.5762,-39533.0692,-3796.0042,188.34356015999998,-44510.6454,-3607.66063984,-48118.306039840005
56,-4966.8984,-39506.1037,-3753.0876,184.07998872,-44473.0021,-3569.0076112799998,-48042.00971128
