run_dir,frames,atoms,stride,time_ns_final,backbone_rmsd_A_final,backbone_rmsd_A_mean,backbone_rmsd_A_max,ligand_atoms,ligand_rmsd_A_final,ligand_rmsd_A_mean,ligand_rmsd_A_max,contact_cutoff_nm,n_contact_residues,replicate,late_90_100_ligand_pose_rmsd_A_mean,late_90_100_ligand_pose_rmsd_A_max,late_90_100_ligand_sasa_nm2_mean,late_90_100_contact_atoms_4A_mean,late_90_100_contact_atoms_4A_min,late_90_100_contact_atoms_8A_mean,late_90_100_contact_atoms_8A_min
/home/farhahna/anpdb-workflow/md_runs/production/sglt2_mol13144/rep1,2000,168757,1,99.94999988553671,1.8175251483917236,1.6163963079452515,2.376004695892334,64,0.39471206068992615,0.32177215814590454,0.6573778390884399,0.4,250,rep1,1.4174869,1.9177775,0.39502874,50.25,46,295.65,286
/home/farhahna/anpdb-workflow/md_runs/production/sglt2_mol13144/rep2,2002,168802,1,99.94999988553671,1.8231325149536133,1.6684402227401733,2.1830387115478516,64,1.5501391887664795,1.5506407022476196,1.7879139184951782,0.4,226,rep2,2.0572972,2.231085,0.21236794,59.7,51,353.9,343
/home/farhahna/anpdb-workflow/md_runs/production/sglt2_mol13144/rep3,2000,168802,1,99.94999988553671,2.15621280670166,1.970885992050171,2.547788143157959,64,0.7159212827682495,0.5645492076873779,1.0605781078338623,0.4,128,rep3,1.3761137,1.6411021,0.20845251,44.45,39,345.55,340
