time_ns,minimum_heavy_atom_bond_A,maximum_heavy_atom_bond_A,maximum_absolute_change_from_frame0_A,implausible_heavy_atom_bond_count
0.0,1.2007749,1.638806,0.0,0
0.05000000001018634,1.2076681,1.6172265,0.068695426,0
0.10000000002037268,1.237441,1.6047395,0.118163824,0
0.15000000003055902,1.221028,1.6680453,0.10368717,0
0.20000000004074536,1.2146145,1.6065477,0.11136556,0
0.2500000000509317,1.2354561,1.6160386,0.09414494,0
0.30000000006111804,1.2108696,1.6026467,0.13857496,0
0.3500000000713044,1.1997448,1.6085708,0.12801766,0
0.4000000000814907,1.1838877,1.6426635,0.10169542,0
0.45000000009167707,1.2172871,1.5907627,0.15692103,0
0.5000000001018634,1.2284544,1.6182449,0.11867702,0
0.5500000001120497,1.2196252,1.6741686,0.116725564,0
0.6000000001222361,1.2092876,1.6247295,0.11713934,0
0.6500000001324215,1.2287428,1.5959799,0.116880536,0
0.7000000001426079,1.2141384,1.6728809,0.109072566,0
0.7500000001527942,1.2263672,1.6335001,0.0828563,0
0.8000000001629806,1.2074065,1.6224742,0.0884999,0
0.8500000001731669,1.2120246,1.6345149,0.15420687,0
0.9000000001833532,1.2010334,1.6279354,0.09866238,0
0.9500000001935396,1.2293155,1.6574383,0.09628141,0
1.000000000203726,1.1886117,1.6349359,0.11093032,0
1.0500000002139123,1.2182673,1.6194392,0.10884726,0
1.1000000002240986,1.2136741,1.6015782,0.11423814,0
1.150000000234285,1.1846597,1.5846169,0.103067994,0
1.2000000002444713,1.2202488,1.608143,0.102890134,0
1.2500000002546576,1.1585348,1.6253544,0.08069813,0
1.300000000264844,1.2302084,1.6767658,0.13236558,0
1.3500000002750303,1.2368168,1.6090442,0.08764291,0
1.4000000002852167,1.2445338,1.6044046,0.08981478,0
1.450000000295403,1.2351111,1.614039,0.0925169,0
1.5000000003055893,1.2136,1.649965,0.09689474,0
1.5500000003157757,1.2049538,1.6325767,0.0840019,0
1.600000000325962,1.1954279,1.6686298,0.08745408,0
1.6500000003361501,1.208243,1.6316507,0.120533824,0
1.700000000346333,1.2034799,1.6149967,0.06632066,0
1.750000000356521,1.2308755,1.6541083,0.103235245,0
1.8000000003667074,1.2044016,1.6268433,0.07992232,0
1.8500000003768937,1.1910114,1.6510465,0.0859189,0
1.90000000038708,1.2216837,1.6103672,0.10082054,0
1.9500000003972664,1.2458662,1.5929682,0.1000694,0
2.0000000004074545,1.2326078,1.6148995,0.115989566,0
2.0500000004176373,1.1726059,1.6180546,0.121964335,0
2.1000000004278254,1.2132859,1.6085472,0.079992294,0
2.1500000004380118,1.2214566,1.6069672,0.0819056,0
2.200000000448198,1.2347307,1.6535027,0.08317268,0
2.250000000458386,1.2278373,1.6147673,0.1205492,0
2.300000000468569,1.2217836,1.6152964,0.08138049,0
