step,time_ps,elapsed_time_ns,potential_energy_kJ_mol,kinetic_energy_kJ_mol,total_energy_kJ_mol,temperature_K,volume_nm3,density_g_mL,speed_ns_day
5000000,10000.000001119768,2.45000000049913,-841999.9816131182,221234.02029722964,-620765.9613158886,308.8264977944169,764.1419145744829,1.0251624302023925,107
5025000,10050.000001129954,2.500000000509316,-841499.7695037527,222247.82218491207,-619251.9473188407,310.24169101836003,763.4368776665278,1.0261091716699395,107
5050000,10100.00000114014,2.5500000005195025,-840646.0254238867,222127.2574635716,-618518.7679603151,310.0733914928208,763.6817486059388,1.0257801546189709,107
5075000,10150.000001150329,2.6000000005296906,-839919.7747742496,223254.21658424684,-616665.5581900028,311.64654393080497,765.4607184282991,1.0233961891253658,107
5100000,10200.000001160512,2.6500000005398734,-841229.1158559797,221356.69781775525,-619872.4180382245,308.9977466329596,764.3703509063904,1.0248560547066827,107
5125000,10250.0000011707,2.7000000005500615,-841511.0763937333,222466.65817485267,-619044.4182188807,310.54717004131464,763.0371913839526,1.0266466576076791,107
5150000,10300.000001180886,2.750000000560248,-841048.1878755158,223703.87576840623,-617344.3121071096,312.2742352364119,765.4165312126075,1.0234552694121153,107
5175000,10350.000001191072,2.800000000570434,-841586.366248372,221659.5578268628,-619926.8084215092,309.4205170360333,764.2503910428763,1.0250169202997983,107
5200000,10400.00000120126,2.8500000005806223,-839825.1092772777,222901.4043567946,-616923.704920483,311.154043887472,766.3369469416633,1.022226039460837,107
5225000,10450.000001211443,2.900000000590805,-842480.554189242,222023.953400615,-620456.6007886269,309.92918658288903,762.669936120844,1.0271410279381488,107
5250000,10500.000001221631,2.950000000600993,-841926.2590128118,222600.38536332955,-619325.8736494823,310.7338434074711,766.6653278865795,1.0217881958013597,107
5275000,10550.000001231818,3.0000000006111796,-839840.9580290215,221449.8808320867,-618391.0771969348,309.1278232998811,767.0017350930294,1.0213400391717122,107
5300000,10600.000001242004,3.050000000621366,-843350.6521113119,223146.5572160789,-620204.094895233,311.49625933361057,765.562812007187,1.023259711519702,107
5325000,10650.00000125219,3.1000000006315522,-841917.5353976679,222015.85804904613,-619901.6773486218,309.91788606468634,765.3373134966769,1.0235612041253068,107
5350000,10700.000001262377,3.1500000006417386,-841352.7671446549,223528.2568441155,-617824.5103005394,312.0290840735742,765.2040628010931,1.0237394444785048,107
5375000,10750.000001272563,3.200000000651925,-841963.4212264968,221737.3758747964,-620226.0453517004,309.52914533459347,764.0080973616848,1.0253419890049087,107
5400000,10800.00000128275,3.2500000006621113,-840466.0770557658,221803.3015419027,-618662.7755138631,309.62117274005243,764.2462679952762,1.0250224501842489,107
5425000,10850.000001292936,3.3000000006722976,-840429.9254948567,221893.00560097824,-618536.9198938784,309.74639304009946,765.9038972907205,1.022804016190214,107
5450000,10900.000001303122,3.350000000682484,-841844.5436207638,221582.8857655248,-620261.657855239,309.31348845087314,766.3912853921391,1.0221535618895503,107
5475000,10950.000001313309,3.4000000006926703,-841981.2100920212,221545.70839035616,-620435.501701665,309.26159155655694,766.5423363481273,1.0219521414782191,107
5500000,11000.000001323497,3.4500000007028584,-841781.9836176466,223337.73110577217,-618444.2525118744,311.763124089512,765.1519985859276,1.023809104089679,107
5525000,11050.00000133368,3.500000000713041,-842294.4873790937,222172.47352371085,-620122.0138553828,310.1365098029167,764.7550449157762,1.024340522331513,107
5550000,11100.000001343868,3.5500000007232293,-840991.524431516,221713.23697474808,-619278.2874567679,309.49544919711644,765.023386918467,1.0239812214370567,107
5575000,11150.000001354054,3.6000000007334156,-841232.5109578953,222467.0205867331,-618765.4903711622,310.5476759417709,764.5299311947662,1.024642136561584,107
5600000,11200.00000136424,3.650000000743602,-842344.4215015108,221530.8718729744,-620813.5496285364,309.24088086433915,765.8927780258402,1.0228188653036967,107
5625000,11250.000001374428,3.70000000075379,-840571.9964465378,221732.20665044483,-618839.789796093,309.52192947579084,766.3907051032703,1.0221543358346543,107
5650000,11300.000001384611,3.750000000763973,-840966.9493995951,222484.0539140414,-618482.8954855538,310.5714532198375,766.564137494669,1.021923077076031,107
