block_ns,frames,protein_core_rmsd_A_mean,protein_core_rmsd_A_sd,backbone_rmsd_A_mean,backbone_rmsd_A_sd,ligand_pose_rmsd_A_mean,ligand_pose_rmsd_A_sd,ligand_internal_rmsd_A_mean,ligand_internal_rmsd_A_sd,ligand_com_displacement_A_mean,ligand_com_displacement_A_sd,ligand_pocket_com_distance_A_mean,ligand_pocket_com_distance_A_sd,protein_ligand_min_heavy_distance_A_mean,protein_ligand_min_heavy_distance_A_sd,contact_atoms_4A_mean,contact_atoms_4A_sd,contact_residues_4A_mean,contact_residues_4A_sd,initial_contact_residue_fraction_4A_mean,initial_contact_residue_fraction_4A_sd,ligand_sasa_nm2_mean,ligand_sasa_nm2_sd,ligand_z_from_membrane_center_A_mean,ligand_z_from_membrane_center_A_sd
0-20,400,0.9677121043205261,0.12053658068180084,1.4952521324157715,0.17867411673069,2.0986833572387695,0.7732271552085876,0.8045680522918701,0.22456374764442444,1.2735657042591564,0.44033736649048766,0.9883101675398234,0.35269212951719914,3.079996344447136,0.19773417218656913,33.0075,5.036950558355551,11.61,1.3499837555877765,0.7344642857142857,0.08271682595145684,0.4358040988445282,0.1338469684123993,8.303711689632873,1.0273283347688873
20-40,400,1.0260586738586426,0.10722701996564865,1.6628261804580688,0.2161112278699875,4.117464065551758,0.5148617625236511,1.029545783996582,0.1248924508690834,2.0060530188354893,0.5776985967356288,1.4090026804011007,0.46169587759589303,3.1400647684931755,0.11716154889829804,34.275,5.004697041900039,13.13,1.4241384855642245,0.73875,0.07653410303531746,0.2329544872045517,0.11083284765481949,4.00836036943928,1.4957012994457883
40-60,400,1.1873416900634766,0.11845605820417404,1.8439680337905884,0.13833579421043396,4.129959583282471,0.2740393280982971,1.0490238666534424,0.08145996183156967,1.9994827568218443,0.3001446169344916,1.237096330460507,0.2820918077914769,3.123722243309021,0.12681999726734064,35.795,4.922250132400301,13.6975,1.2489569583093219,0.7891071428571429,0.06555686206319054,0.2929767668247223,0.1167634055018425,2.2839303340340797,0.8968263646453377
60-80,400,1.3449313640594482,0.10485994070768356,1.9295462369918823,0.15085214376449585,3.3349392414093018,0.34821897745132446,0.7244293093681335,0.16210028529167175,1.7932011728110047,0.30507507850205967,1.102575929812547,0.27849035908823944,3.063056027889252,0.11742168078885236,38.4925,4.33033755130829,13.585,1.0538270154281086,0.7357142857142857,0.061936426394579976,0.3124786615371704,0.08264268934726715,2.115822613979258,0.8071458147404162
80-100,400,1.4426175355911255,0.132610484957695,1.9662197828292847,0.15311682224273682,3.0097362995147705,0.20650526881217957,0.5659277439117432,0.08128631114959717,1.3457977130321328,0.24494813036625487,0.6294242852467471,0.17795718401574365,3.0554290130734443,0.12637590229116574,35.98,4.603540100144028,12.9775,1.0605686042925406,0.7166071428571428,0.07030784766148547,0.44987353682518005,0.09541121870279312,4.0914791931549965,0.9927924623257576
