atom1,atom2,frame0_distance_A,mean_distance_A,minimum_distance_A,maximum_distance_A,implausible_frame_fraction
UNK1-C1x,UNK1-O1x,1.4360320568084717,1.4558924436569214,1.3416595458984375,1.5711121559143066,0.0
UNK1-O1x,UNK1-C2x,1.3757765293121338,1.3760751485824585,1.2763179540634155,1.4840604066848755,0.0
UNK1-C2x,UNK1-O2x,1.2356224060058594,1.2277387380599976,1.1613795757293701,1.307909369468689,0.0
UNK1-C2x,UNK1-C3x,1.5437672138214111,1.4992685317993164,1.399897575378418,1.6046018600463867,0.0
UNK1-C3x,UNK1-C4x,1.405160665512085,1.3919035196304321,1.3076152801513672,1.479328989982605,0.0
UNK1-C3x,UNK1-C20x,1.558701515197754,1.566163182258606,1.4596328735351562,1.6645146608352661,0.0
UNK1-C4x,UNK1-C5x,1.4387116432189941,1.4780489206314087,1.3728816509246826,1.594385027885437,0.0
UNK1-C5x,UNK1-C6x,1.3816282749176025,1.3749635219573975,1.280534029006958,1.4558504819869995,0.0
UNK1-C6x,UNK1-C7x,1.583083152770996,1.5245126485824585,1.402363657951355,1.6363334655761719,0.0
UNK1-C7x,UNK1-C8x,1.5924012660980225,1.5850834846496582,1.4652752876281738,1.7064439058303833,0.0
UNK1-C7x,UNK1-C20x,1.6251517534255981,1.59395170211792,1.489753246307373,1.7108430862426758,0.0
UNK1-C8x,UNK1-C9x,1.5951087474822998,1.5746867656707764,1.4544172286987305,1.6967756748199463,0.0
UNK1-C8x,UNK1-C10x,1.554253339767456,1.5663260221481323,1.4514213800430298,1.6749920845031738,0.0
UNK1-C8x,UNK1-C17x,1.5339435338974,1.5563098192214966,1.429437279701233,1.681265115737915,0.0
UNK1-C10x,UNK1-C11x,1.5797401666641235,1.5642746686935425,1.4564507007598877,1.6874134540557861,0.0
UNK1-C11x,UNK1-C12x,1.5156365633010864,1.521425485610962,1.389248251914978,1.6557997465133667,0.0
UNK1-C11x,UNK1-O4x,1.4630427360534668,1.4594911336898804,1.3359401226043701,1.5801827907562256,0.0
UNK1-C12x,UNK1-C13x,1.482730507850647,1.4653120040893555,1.331261396408081,1.56203031539917,0.0
UNK1-C12x,UNK1-C15x,1.3357864618301392,1.374204397201538,1.2927829027175903,1.4604313373565674,0.0
UNK1-C13x,UNK1-C14x,1.398038625717163,1.370631456375122,1.296459674835205,1.4549412727355957,0.0
UNK1-C14x,UNK1-O3x,1.4241385459899902,1.3671412467956543,1.2634540796279907,1.4766895771026611,0.0
UNK1-O3x,UNK1-C15x,1.3587102890014648,1.3705922365188599,1.2673019170761108,1.4660488367080688,0.0
UNK1-O4x,UNK1-C16x,1.3569793701171875,1.3630964756011963,1.24754798412323,1.471379280090332,0.0
UNK1-C16x,UNK1-O5x,1.2604913711547852,1.2256839275360107,1.1536091566085815,1.2895179986953735,0.0
UNK1-C16x,UNK1-C17x,1.5480648279190063,1.5462244749069214,1.4063208103179932,1.6847822666168213,0.0
UNK1-C17x,UNK1-C18x,1.550145149230957,1.5538151264190674,1.437016487121582,1.6650004386901855,0.0
UNK1-C18x,UNK1-C19x,1.5783284902572632,1.553941249847412,1.440961241722107,1.683343529701233,0.0
UNK1-C19x,UNK1-C20x,1.5853275060653687,1.571168303489685,1.4606775045394897,1.7038129568099976,0.0
UNK1-C20x,UNK1-C21x,1.6259338855743408,1.5680968761444092,1.4360171556472778,1.683664083480835,0.0
