block_ns,frames,protein_core_rmsd_A_mean,protein_core_rmsd_A_sd,backbone_rmsd_A_mean,backbone_rmsd_A_sd,ligand_pose_rmsd_A_mean,ligand_pose_rmsd_A_sd,ligand_internal_rmsd_A_mean,ligand_internal_rmsd_A_sd,ligand_com_displacement_A_mean,ligand_com_displacement_A_sd,ligand_pocket_com_distance_A_mean,ligand_pocket_com_distance_A_sd,protein_ligand_min_heavy_distance_A_mean,protein_ligand_min_heavy_distance_A_sd,contact_atoms_4A_mean,contact_atoms_4A_sd,contact_residues_4A_mean,contact_residues_4A_sd,initial_contact_residue_fraction_4A_mean,initial_contact_residue_fraction_4A_sd,ligand_sasa_nm2_mean,ligand_sasa_nm2_sd,ligand_z_from_membrane_center_A_mean,ligand_z_from_membrane_center_A_sd
0-20,400,0.8287258744239807,0.1057816669344902,1.377790093421936,0.2622787356376648,2.319436550140381,0.6756036877632141,1.044735074043274,0.28647977113723755,1.3996893703841489,0.4858902822503622,0.693264478466482,0.35726201133789365,2.9152460444718598,0.21368533810620427,28.7575,4.397389719009691,9.37,1.2795284219024368,0.8108333333333334,0.11202596082055763,0.9001209735870361,0.2070600837469101,7.48671039780756,1.417537228305811
20-40,400,1.2665033340454102,0.17178170382976532,1.8488882780075073,0.2314743995666504,3.371234655380249,0.9046279191970825,1.0131847858428955,0.15563836693763733,2.318746022252116,0.72977199381148,2.1142490237729046,0.8990319209208592,3.180365751683712,0.12337215935706236,23.0175,3.840451329731976,9.2825,1.4327685837344217,0.6944444444444444,0.1315155018917835,1.1363439559936523,0.2754664421081543,6.385403209922966,1.3713680648954594
40-60,400,1.257561206817627,0.22862876951694489,1.9489914178848267,0.299559623003006,4.933800220489502,0.6500733494758606,1.1077111959457397,0.14562755823135376,3.7103162653444484,0.5383491282781675,3.183833866091287,0.4894846584975976,3.1990129716694353,0.1306523386258859,19.85,3.4090400239234184,8.3625,1.262965341422355,0.6261111111111112,0.11436478127580299,1.476048231124878,0.14722926914691925,8.768381289215109,1.247152422115311
60-80,400,1.011905312538147,0.11335895955562592,1.7298170328140259,0.1728205680847168,5.212282657623291,0.3915597200393677,1.0864040851593018,0.15791288018226624,3.5085543588039907,0.6719438205608859,2.874743526563648,0.7687043658989949,3.1504008136689663,0.18569364225670262,21.2075,4.2478883151331335,8.75,1.3755837220762328,0.6541666666666666,0.11426023301130847,1.4068703651428223,0.299106627702713,8.21508459016827,1.1557464286904202
80-100,400,0.9618777632713318,0.12214867025613785,1.7958732843399048,0.18113312125205994,5.311004638671875,0.19323590397834778,0.9101271629333496,0.08841855823993683,2.430627669349306,0.25631282933813876,1.4573767149441477,0.192790383878538,3.015454062074423,0.18185884064122837,26.795,3.723928585549902,10.49,1.1193893788372455,0.7997222222222223,0.07775539718576342,0.7405741810798645,0.13893941044807434,5.481393108403406,0.789896215936238
