time_ns,protein_core_rmsd_A,backbone_rmsd_A,ligand_pose_rmsd_A,ligand_internal_rmsd_A
0.0,0.0,0.0,0.0,0.0
0.05000000001018634,0.5302283,0.71657264,0.7681131,0.35510764
0.10000000002037268,0.65203935,0.80471015,0.86994183,0.25952858
0.15000000003055902,0.59439725,0.78777164,0.51611054,0.28387582
0.20000000004074536,0.6210531,0.8448428,0.67402846,0.2762202
0.2500000000509317,0.58234715,0.81330055,0.99256605,0.45121685
0.30000000006111804,0.656916,0.98951936,1.0329845,0.37226075
0.3500000000713044,0.726195,0.8918616,0.59730804,0.24374217
0.4000000000814907,0.656054,0.76484036,0.67643887,0.45227236
0.45000000009167707,0.7148255,0.8557659,0.9416974,0.35246643
0.5000000001018634,0.68708473,0.9534497,1.4999955,0.31353998
0.5500000001120497,0.7301566,0.8994729,1.1063014,0.30354205
0.6000000001222361,0.6718976,1.1418376,1.422671,0.42139328
0.6500000001324215,0.66888446,1.0386329,1.3553106,0.640747
0.7000000001426079,0.6040292,1.0165973,1.234431,0.46628648
0.7500000001527942,0.73248476,1.1504847,0.90505093,0.25928468
0.8000000001629806,0.6921372,1.2601902,0.93266124,0.3606194
0.8500000001731669,0.79302007,1.1412778,1.0566665,0.4921217
0.9000000001833532,0.6908777,1.0713944,1.1579839,0.38207573
0.9500000001935396,0.69035405,0.99741817,0.7634424,0.35477176
1.000000000203726,0.64910346,1.1151631,0.59425575,0.4310235
1.0500000002139123,0.74426174,0.9195248,2.731896,1.1572487
1.1000000002240986,0.75852627,1.1674898,2.9043407,1.0610708
1.150000000234285,0.65198416,0.9361366,1.1911862,0.71521246
1.2000000002444713,0.73313606,0.9892868,1.2200588,0.70770204
1.2500000002546576,0.7202108,0.96924514,1.5190512,0.58513725
1.300000000264844,0.73014027,1.012646,1.24935,0.27956623
1.3500000002750303,0.71375245,1.2032515,1.2847915,0.38990366
1.4000000002852167,0.8070018,1.3294199,0.46187627,0.19148135
1.450000000295403,0.78010494,1.2245783,0.96274763,0.5466771
1.5000000003055893,0.7307351,1.1476085,0.7890365,0.5692308
1.5500000003157757,0.71500057,0.99576163,0.7924161,0.6490949
1.600000000325962,0.728055,1.0112845,0.9242462,0.34595418
1.6500000003361501,0.7607875,0.87769043,1.4908944,0.594313
1.700000000346333,0.72495127,1.0668424,1.0396411,0.20068026
1.750000000356521,0.8088448,1.0757308,0.9213,0.40773228
1.8000000003667074,0.79579663,1.2273585,1.6609094,0.90466434
1.8500000003768937,0.8439339,1.3732885,1.7383242,0.61370623
1.90000000038708,0.8822253,1.1324854,1.2189028,0.66124505
1.9500000003972664,0.7355467,0.9985947,2.4889016,1.2049525
2.0000000004074545,0.8191565,1.3392997,1.8402002,0.8961626
2.0500000004176373,0.8824604,1.4900031,1.8977244,0.6125531
2.1000000004278254,0.8146721,1.4307727,1.7883089,0.46817058
2.1500000004380118,0.82091904,1.3369532,2.447855,1.055249
2.200000000448198,0.7161945,1.4226761,2.3153431,1.0094304
