GENERALIZED BORN:
Complex Energy Terms
Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL
0,-4938.6527,-39363.7533,-3902.395,189.8022816,-44302.405999999995,-3712.5927184,-48014.99871839999
1,-4905.6481,-39217.5917,-4002.2655,190.7962488,-44123.239799999996,-3811.4692512,-47934.7090512
2,-5001.4681,-39188.8908,-3890.1347,187.90133472,-44190.3589,-3702.2333652800003,-47892.59226528
3,-4947.7195,-39231.6872,-3953.0531,190.72896696,-44179.4067,-3762.32413304,-47941.73083304
4,-4921.2916,-39284.4369,-3903.1069,188.86811688,-44205.7285,-3714.2387831200003,-47919.96728311999
5,-4967.0743,-39034.0615,-4109.4991,188.9696952,-44001.135800000004,-3920.5294048,-47921.6652048
6,-4917.4157,-39206.9423,-3990.355,189.067446,-44124.358,-3801.287554,-47925.645554
7,-4932.9235,-39250.7896,-3946.434,190.76956919999998,-44183.71309999999,-3755.6644308000004,-47939.3775308
8,-4966.4586,-39307.675,-3918.7784,189.07649279999998,-44274.1336,-3729.7019072000003,-48003.835507200005
9,-5022.2349,-39316.6547,-3945.6115,190.10935296,-44338.8896,-3755.50214704,-48094.391747040005
10,-4935.3646,-39389.962,-3822.1013,187.60258584000002,-44325.3266,-3634.49871416,-47959.82531416
11,-4954.7609,-39331.4213,-3891.054,188.42724432,-44286.1822,-3702.6267556800003,-47988.80895568
12,-4941.3734,-39341.5695,-3829.693,191.79099288,-44282.942899999995,-3637.9020071200002,-47920.844907119994
13,-4932.6782,-39252.5263,-3831.0827,188.42511815999998,-44185.2045,-3642.65758184,-47827.86208184
14,-4955.0923,-39383.5466,-3757.386,186.6936708,-44338.638900000005,-3570.6923292,-47909.331229200005
15,-4928.0655,-39558.8306,-3802.0381,191.99970288,-44486.8961,-3610.0383971200004,-48096.93449712
16,-4934.6586,-39343.6136,-3900.5764,192.54749616,-44278.2722,-3708.02890384,-47986.30110384
17,-4977.2895,-39484.8905,-3835.3915,188.99789904,-44462.18,-3646.39360096,-48108.57360096
18,-4944.7762,-39307.7148,-3907.607,189.81311256,-44252.491,-3717.79388744,-47970.28488744
19,-4982.6204,-39242.8051,-3900.254,189.23753232,-44225.4255,-3711.01646768,-47936.441967679995
20,-4931.3958,-39357.5593,-3778.7321,189.04700015999998,-44288.9551,-3589.68509984,-47878.64019984
21,-4945.9054,-39421.0075,-3794.608,189.54038807999999,-44366.912899999996,-3605.06761192,-47971.980511919995
22,-4947.793,-39463.4371,-3791.1031,187.41061152,-44411.2301,-3603.6924884799996,-48014.92258848
23,-4945.9232,-39421.5127,-3800.8549,186.89589143999999,-44367.4359,-3613.95900856,-47981.394908559996
24,-4988.0131,-39311.5576,-3855.3073,188.10556848,-44299.5707,-3667.20173152,-47966.772431519996
25,-4980.0722,-39333.163,-3899.9212,188.02195992,-44313.2352,-3711.8992400800003,-48025.13444008
26,-5019.7892,-39366.9032,-3803.1378,183.95306279999997,-44386.6924,-3619.1847372,-48005.8771372
27,-4956.2681,-39082.8076,-3967.1206,186.81043608,-44039.0757,-3780.3101639200004,-47819.385863920004
28,-4996.3533,-39269.6787,-3943.4848,186.8073192,-44266.032,-3756.6774808,-48022.7094808
29,-4981.1033,-39349.5589,-3897.5151,188.77236624,-44330.662200000006,-3708.74273376,-48039.40493376
30,-5009.0947,-39221.504,-3917.5677,187.95275999999998,-44230.5987,-3729.61494,-47960.21364
31,-5021.5158,-39204.0915,-3875.0266,186.41248055999998,-44225.6073,-3688.61411944,-47914.22141944
32,-4995.5626,-39241.2742,-3867.745,185.57697096,-44236.8368,-3682.16802904,-47919.00482904
33,-4918.3282,-39268.4881,-3975.2674,189.49549032,-44186.816300000006,-3785.77190968,-47972.588209680005
34,-5049.5512,-39066.7772,-3952.4353,182.81313,-44116.3284,-3769.62217,-47885.95056999999
35,-4979.0158,-39133.855,-3989.2055,186.31961424,-44112.870800000004,-3802.88588576,-47915.75668576
36,-4993.8221,-39343.4841,-3875.3667,187.61228423999998,-44337.3062,-3687.75441576,-48025.06061576
37,-5039.4461,-39161.2854,-3938.2212,185.74003152,-44200.7315,-3752.4811684799997,-47953.21266848
38,-4958.4997,-39295.0339,-3898.1124,185.28397416,-44253.5336,-3712.82842584,-47966.362025840004
39,-4959.7067,-39199.8463,-3917.0431,189.33824952,-44159.553,-3727.70485048,-47887.257850480004
40,-4943.8327,-39235.3575,-3963.8987,190.35619488,-44179.1902,-3773.54250512,-47952.73270512
41,-4942.9591,-39323.5526,-3904.6642,188.05219559999998,-44266.5117,-3716.6120044000004,-47983.1237044
42,-4943.1555,-39139.071,-4009.9434,190.9840464,-44082.226500000004,-3818.9593536,-47901.18585360001
43,-4931.6845,-39225.1352,-3952.3741,189.46854,-44156.8197,-3762.90556,-47919.72526
44,-4962.7552,-39265.6836,-3966.7504,188.73083736,-44228.438799999996,-3778.01956264,-48006.45836263999
45,-4999.4604,-39101.9121,-4015.9467,185.92051247999999,-44101.3725,-3830.02618752,-47931.39868752
46,-4939.7641,-39309.2115,-3861.4612,189.62059968,-44248.9756,-3671.8406003200002,-47920.81620032
47,-4982.5132,-39177.7029,-3957.9879,188.67064607999998,-44160.2161,-3769.31725392,-47929.53335392
48,-4987.7831,-39234.8384,-3874.6849,187.48675296,-44222.6215,-3687.19814704,-47909.81964704
49,-4991.6447,-39033.8518,-4046.0143,188.47941408,-44025.496499999994,-3857.53488592,-47883.031385919996
50,-4935.2642,-39230.5126,-3961.6722,191.55291336,-44165.7768,-3770.11928664,-47935.89608664
51,-4933.4881,-39280.8898,-3860.1265,188.88670367999998,-44214.3779,-3671.23979632,-47885.61769632
52,-4927.0144,-39373.594,-3826.9228,187.15199904,-44300.6084,-3639.7708009599996,-47940.37920096
53,-4919.9862,-39442.5465,-3860.6935,187.33503096,-44362.532699999996,-3673.35846904,-48035.89116904
54,-4949.3789,-39295.3585,-3828.1197,188.13888648,-44244.7374,-3639.98081352,-47884.71821352
55,-4938.4476,-39400.5002,-3919.1311,191.48511096,-44338.9478,-3727.64598904,-48066.59378904
56,-4958.5683,-39230.2251,-3946.1121,188.64161928000001,-44188.7934,-3757.4704807199996,-47946.26388072
57,-4995.2385,-39266.8694,-3919.146,187.549992,-44262.1079,-3731.596008,-47993.703908
58,-4954.4662,-39358.1755,-3851.2624,190.7164728,-44312.6417,-3660.5459272000003,-47973.1876272
59,-4929.8313,-39092.4812,-4058.9336,191.5040952,-44022.3125,-3867.4295048,-47889.7420048
60,-4945.091,-39034.7573,-4061.3278,188.50259591999998,-43979.8483,-3872.82520408,-47852.67350408
61,-4948.0992,-39276.1928,-3918.0636,188.2734768,-44224.291999999994,-3729.7901232,-47954.082123199994
62,-4966.0184,-39271.3115,-4036.7876,189.2806308,-44237.329900000004,-3847.5069692,-48084.83686920001
63,-4975.811,-39140.1561,-4008.9503,186.49679831999998,-44115.9671,-3822.45350168,-47938.42060168
64,-4926.6112,-39103.7513,-4098.8077,189.53591544,-44030.3625,-3909.2717845600005,-47939.63428456
65,-4949.31,-39104.36,-4072.235,188.25224688,-44053.67,-3883.9827531200003,-47937.65275312
66,-4920.5542,-39149.4624,-4072.0672,189.34330752,-44070.016599999995,-3882.72389248,-47952.74049247999
67,-4930.7138,-38914.6947,-4137.2474,189.7657812,-43845.4085,-3947.4816188000004,-47792.890118799995
68,-4932.0214,-39029.8713,-4153.6045,188.26278264,-43961.8927,-3965.3417173600005,-47927.23441736
69,-4977.1272,-38860.3816,-4269.7267,190.9243908,-43837.5088,-4078.8023092000003,-47916.3111092
70,-4949.0538,-38871.5879,-4242.051,188.4811284,-43820.6417,-4053.5698716000006,-47874.2115716
71,-4970.3562,-38779.0311,-4276.9996,190.84815935999998,-43749.3873,-4086.15144064,-47835.538740640004
72,-4940.2041,-38964.8374,-4190.0379,185.72647103999998,-43905.0415,-4004.3114289600003,-47909.352928960005
73,-4967.4818,-38946.8851,-4228.8103,186.66184176,-43914.3669,-4042.1484582400003,-47956.51535824
74,-5012.4689,-39191.0688,-3953.302,185.972688,-44203.5377,-3767.3293120000003,-47970.867012
