time_ns,ligand_pose_rmsd_A,ligand_sasa_nm2,protein_ligand_contact_atoms_4A,protein_ligand_contact_atoms_8A
0.0,0.0,0.07086061,46,344
0.5,0.94884694,0.02181435,50,344
1.0,0.8395096,0.008024806,60,354
1.5,0.99800473,0.021747746,60,355
2.0,0.67235124,0.009140837,48,364
2.5,0.6542741,0.0026640263,51,370
3.0,0.8030066,0.0020033438,53,357
3.5,0.7784086,0.013546484,44,351
4.0,0.53405464,0.0011293808,49,358
4.5,0.52020407,0.07353468,44,346
5.0,0.8913961,0.019347833,48,355
5.5,1.0253149,0.012590123,56,361
6.0,1.300044,0.14107057,47,349
6.5,1.0390804,0.06580434,50,359
7.0,0.8683212,0.06727044,54,350
7.5,0.8952358,0.09242111,47,350
8.0,0.9758422,0.16274449,48,359
8.5,1.0949612,0.09197135,53,351
9.0,0.9738841,0.03220962,47,352
9.5,1.1402657,0.093543775,59,357
10.0,0.98090464,0.06729798,50,361
10.5,0.9514692,0.097818665,52,362
11.0,1.1967242,0.15539959,45,346
11.5,1.1366279,0.1575283,54,355
12.0,0.9842074,0.14990546,55,373
12.5,0.8521124,0.21110456,57,349
13.0,0.95870525,0.16674572,55,357
13.5,1.0810622,0.10220686,46,347
14.0,0.97507805,0.24334756,45,352
14.5,1.517409,0.38921845,47,348
15.0,1.2776275,0.1628578,43,343
15.5,1.4534103,0.1925396,54,348
16.0,1.290378,0.23989461,47,350
16.5,1.4614748,0.18880527,46,347
17.0,1.0406299,0.24643084,41,340
17.5,1.2009062,0.18220899,48,341
18.0,1.0855684,0.14674827,44,342
18.5,1.0281838,0.1944955,49,343
19.0,1.196964,0.25208434,46,346
19.5,1.4309607,0.28916323,50,348
20.0,1.3952348,0.20311023,48,352
20.5,1.6179312,0.22246292,50,347
21.0,1.3041542,0.26836365,53,350
21.5,1.4060711,0.2414879,49,339
22.0,1.2383692,0.1754803,50,340
22.5,1.3416467,0.23227546,51,355
23.0,1.4399129,0.31927317,51,348
23.5,1.2412817,0.24251856,50,347
24.0,1.0308309,0.22758941,49,342
24.5,1.2480503,0.0913194,47,348
25.0,1.2114075,0.30062497,51,357
25.5,1.7624061,0.31850988,44,349
26.0,1.4615748,0.22928281,46,354
26.5,1.4913688,0.24648732,38,345
27.0,1.7332076,0.24645114,45,354
27.5,1.3557556,0.2642489,48,352
28.0,1.7417979,0.3510197,40,356
28.5,1.5306591,0.41616043,41,343
29.0,1.4421266,0.37690842,50,349
29.5,1.6181986,0.4275232,45,347
30.0,1.2495875,0.15062362,54,353
30.5,1.3698027,0.32471776,46,338
31.0,1.3478829,0.33609384,50,344
31.5,1.1551867,0.32660973,45,333
32.0,1.471454,0.33938122,53,333
32.5,1.1296461,0.13171592,51,344
33.0,1.2182941,0.11708693,49,354
33.5,1.2489758,0.078233734,47,351
34.0,1.4161104,0.20625372,49,347
34.5,1.2268848,0.12444184,48,349
35.0,1.2729452,0.24369164,46,354
35.5,1.3048036,0.18049982,45,346
36.0,1.4163786,0.1486951,42,339
36.5,1.0829821,0.26520744,41,347
37.0,1.7893193,0.24529783,42,345
37.5,1.3213816,0.14396045,51,340
38.0,1.8151503,0.14433697,47,343
38.5,1.3808333,0.18827437,47,350
39.0,1.1261545,0.17021975,47,339
39.5,1.1541444,0.21399674,44,347
40.0,1.772516,0.3004334,44,358
40.5,1.3202971,0.2477634,45,352
41.0,1.243996,0.20081937,50,349
41.5,1.0916847,0.14227018,48,347
42.0,1.2508986,0.14081293,46,345
42.5,1.2569695,0.13075012,50,348
43.0,1.2062056,0.13123235,48,342
43.5,1.2269448,0.1535804,47,340
44.0,0.8982077,0.09186795,49,345
44.5,1.0972961,0.12088358,49,342
45.0,0.9740834,0.1494191,43,356
45.5,1.169139,0.15146887,46,348
46.0,0.9400457,0.1095999,48,348
46.5,1.192782,0.17712045,54,349
47.0,0.94512033,0.12514098,45,349
47.5,1.2334385,0.1295854,44,336
48.0,1.0680424,0.17568068,45,343
48.5,1.2694285,0.20669998,51,337
49.0,1.3852551,0.20897351,42,326
49.5,1.1938798,0.1454902,48,337
