time_ns,backbone_rmsd_A,ligand_rmsd_A
0.0,0.009128222,0.0
0.04999999999881766,0.7324794,0.22595212
0.09999999999763577,0.82745206,0.22691949
0.14999999999645297,0.9100339,0.27477482
0.19999999999527063,1.0348763,0.30120957
0.24999999999408828,0.9363884,0.23718107
0.29999999999290594,1.0452114,0.26319107
0.3499999999917236,1.1125951,0.28264484
0.39999999999054126,1.1710126,0.27044567
0.44999999998935936,1.1492501,0.4775805
0.49999999998817657,1.0889399,0.2969045
0.5499999999869942,1.139091,0.26859906
0.5999999999858114,1.114578,0.30423194
0.6499999999846295,1.3130369,0.23436865
0.6999999999834476,1.1696242,0.20763439
0.7499999999822649,1.2004219,0.3084154
0.7999999999810825,1.1794144,0.5116334
0.8499999999799002,1.1466007,0.30085814
0.8999999999787178,1.2863022,0.27375883
0.9499999999775355,1.305655,0.5616296
0.9999999999763527,1.378694,0.25626045
1.0499999999751708,1.2671472,0.25582978
1.0999999999739885,1.3451357,0.32271844
1.149999999972806,1.4590886,0.33057398
1.1999999999716238,1.3418486,0.20612901
1.2499999999704414,1.3107823,0.3427938
1.2999999999692595,1.2625028,0.51693285
1.3499999999680767,1.2899894,0.37113792
1.399999999966894,1.239255,0.5399594
1.4499999999657125,1.3094466,0.4173805
1.4999999999645297,1.273935,0.5771564
1.5499999999642564,1.2361245,0.24241331
1.5999999999744428,1.2895048,0.29924908
1.649999999984629,1.2083781,0.2425178
1.6999999999948154,1.1665926,0.24386582
1.7500000000050018,1.287759,0.20630243
1.8000000000151881,1.2645471,0.5159634
1.8500000000253745,1.2898924,0.44212714
1.9000000000355608,1.1734649,0.22384512
1.950000000045748,1.2462949,0.27190733
2.0000000000559335,1.358542,0.24407348
2.05000000006612,1.3109729,0.5464225
2.100000000076307,1.4351064,0.4919691
2.1500000000864925,1.3668884,0.44640696
2.200000000096679,1.4589744,0.24336424
2.250000000106865,1.3543342,0.6302494
2.3000000001170515,1.5101624,0.61381346
2.350000000127238,1.3723941,0.23815289
2.400000000137424,1.4191964,0.3219788
2.4500000001476105,1.4285303,0.3412602
2.500000000157797,1.3635316,0.32739884
2.5500000001679832,1.370237,0.23412691
2.6000000001781696,1.4911728,0.33763862
2.650000000188356,1.4116023,0.49088356
