GENERALIZED BORN:
Complex Energy Terms
Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL
0,-4882.5425,-38986.6322,-4229.8227,194.37725663999998,-43869.1747,-4035.44544336,-47904.62014336
1,-4890.7929,-39107.7397,-4113.485,193.76281368,-43998.5326,-3919.7221863199998,-47918.25478632
2,-4921.4245,-39150.7704,-4146.1241,193.54096008,-44072.1949,-3952.58313992,-48024.778039920006
3,-4944.7072,-39060.5053,-4123.0243,193.89545063999998,-44005.212499999994,-3929.12884936,-47934.341349359995
4,-4930.0232,-39234.1778,-4110.1309,191.63232072,-44164.201,-3918.4985792800003,-48082.69957928001
5,-4907.1363,-39085.7604,-4194.2505,193.64308344,-43992.8967,-4000.6074165600003,-47993.50411656
6,-4894.9006,-39127.6281,-4113.3937,193.66905816,-44022.5287,-3919.7246418399995,-47942.253341840005
7,-4934.0457,-38990.9209,-4150.9147,190.93443336,-43924.9666,-3959.98026664,-47884.94686664
8,-4876.3806,-39108.1532,-4041.9432,192.73639248,-43984.533800000005,-3849.20680752,-47833.740607520005
9,-4913.2531,-39097.1074,-4064.2845,195.92885736,-44010.3605,-3868.35564264,-47878.716142640005
10,-4927.3348,-39142.686,-4061.884,193.44472199999998,-44070.0208,-3868.439278,-47938.460078
11,-4936.897,-39141.1282,-4057.8997,190.57031279999998,-44078.0252,-3867.3293872,-47945.354587199996
12,-4865.3774,-39113.3267,-4089.8508,196.75503576,-43978.704099999995,-3893.0957642400003,-47871.79986424
13,-4902.6319,-39410.2368,-3911.04,192.24954864,-44312.8687,-3718.79045136,-48031.65915136
14,-4893.9392,-39109.7182,-4142.1323,193.08353327999998,-44003.657400000004,-3949.0487667200005,-47952.70616672
15,-4913.8017,-39328.5532,-3936.2906,191.58660072,-44242.354900000006,-3744.7039992799996,-47987.058899280004
16,-4896.6806,-39226.4522,-4078.9236,194.83455816,-44123.1328,-3884.08904184,-48007.22184184
17,-4879.3056,-39356.3582,-4028.8657,194.78380968,-44235.6638,-3834.0818903199997,-48069.74569032001
18,-4898.1352,-39374.9259,-3898.2081,192.70965816,-44273.0611,-3705.49844184,-47978.55954184
19,-4836.1571,-39335.7978,-3955.0213,193.43937312,-44171.9549,-3761.58192688,-47933.536826879994
20,-4859.5373,-39358.4462,-3975.8023,192.78845424,-44217.9835,-3783.0138457599996,-48000.997345760006
21,-4886.5922,-39189.9546,-4042.4983,189.2732328,-44076.5468,-3853.2250672,-47929.7718672
22,-4906.1967,-39026.1519,-4158.8757,193.71875544,-43932.3486,-3965.15694456,-47897.505544559994
23,-4892.8689,-39237.929,-4100.6577,192.91524048,-44130.7979,-3907.7424595199996,-48038.540359520004
24,-4958.1424,-39055.1693,-4107.357,193.57230528,-44013.3117,-3913.78469472,-47927.09639471999
